3957OR,,,,,,https://www.floralkmi.com/product/mixed-berry-garland-with-large-berries-55in-orange,,,1,99,,,,,1,KMI400,KMI160,https://www.floralkmi.com/products/3957or_54ac567e9abbc.jpg,3957or_54ac567e9abbc.jpg,,,KMI800,3957or_54ac567e9abbc.jpg
3957OR-RE,,,,,,https://www.floralkmi.com/product/mixed-berry-garland-with-large-berries-55in-orangered,,,1,99,,,,,1,KMI400,KMI160,https://www.floralkmi.com/products/3957or_re_54ac57e5a6b4b.jpg,3957or_re_54ac57e5a6b4b.jpg,,,KMI800,3957or_re_54ac57e5a6b4b.jpg
3957OR-RE-BK-BR,,,,,,https://www.floralkmi.com/product/mixed-berry-garland-with-large-berries-55in-orangeredblackbrown,,,1,99,,,,,1,KMI400,KMI160,https://www.floralkmi.com/products/3957or_re_bk_br_5820d0e9025b0.jpg,3957or_re_bk_br_5820d0e9025b0.jpg,,,KMI800,3957or_re_bk_br_5820d0e9025b0.jpg
3957RE,,,,,,https://www.floralkmi.com/product/mixed-berry-garland-with-large-berries-55in-red,,,1,99,,,,,1,KMI400,KMI160,https://www.floralkmi.com/products/3957re_4e206b2da558f.jpg,3957re_4e206b2da558f.jpg,,,KMI800,3957re_4e206b2da558f.jpg
3957RE-CR,,,,,,https://www.floralkmi.com/product/mixed-berry-garland-with-large-berries-55in-redcream,,,1,99,,,,,1,KMI400,KMI160,https://www.floralkmi.com/products/3957re_cr_50dcc4c7b1bcf.jpg,3957re_cr_50dcc4c7b1bcf.jpg,,,KMI800,3957re_cr_50dcc4c7b1bcf.jpg
3957RE-GR-WH,,,,,,https://www.floralkmi.com/product/mixed-berry-garland-with-large-berries-55in-redgreenwhite,,,1,99,,,,,1,KMI400,KMI160,https://www.floralkmi.com/products/3957re_gr_wh_5820d46501d95.jpg,3957re_gr_wh_5820d46501d95.jpg,,,KMI800,3957re_gr_wh_5820d46501d95.jpg
3956OR-RE,,,,,,https://www.floralkmi.com/product/mixed-berry-wreath-set-of-2-19-in-dia-10-in-rim-12-in-dia-4-in-rim-orangered,,,1,99,,,,,1,KMI400,KMI160,https://www.floralkmi.com/products/3956or_re_56410930df6d6.jpg,3956or_re_56410930df6d6.jpg,,,KMI800,3956or_re_56410930df6d6.jpg
3956OR-RE-BK-BR,,,,,,https://www.floralkmi.com/product/mixed-berry-wreath-set-of-2-19-in-dia-10-in-rim-12-in-dia-4-in-rim-orangeredblackbrown,,,1,99,,,,,1,KMI400,KMI160,https://www.floralkmi.com/products/3956or_re_bk_br_5824ecd098fe4.jpg,3956or_re_bk_br_5824ecd098fe4.jpg,,,KMI800,3956or_re_bk_br_5824ecd098fe4.jpg
3956CR-RO-PE,,,,,,https://www.floralkmi.com/product/mixed-berry-wreath-set-of-2-19-in-dia-10-in-rim-12-in-dia-4-in-rim-creamrosepeach,,,1,99,,,,,1,KMI400,KMI160,https://www.floralkmi.com/products/3956cr_ro_pe_547384da5c51f.jpg,3956cr_ro_pe_547384da5c51f.jpg,,,KMI800,3956cr_ro_pe_547384da5c51f.jpg
3956GR-BR-CR,,,,,,https://www.floralkmi.com/product/mixed-berry-wreath-set-of-2-19-in-dia-10-in-rim-12-in-dia-4-in-rim-green-brown-cream,,,1,99,,,,,1,KMI400,KMI160,https://www.floralkmi.com/products/3956gr_br_cr_5824ec62db5bf.jpg,3956gr_br_cr_5824ec62db5bf.jpg,,,KMI800,3956gr_br_cr_5824ec62db5bf.jpg
3957BU-RH-CR,,,,,,https://www.floralkmi.com/product/mixed-berry-garland-with-large-berries-55in-burgundyrose-hipcream,,,1,99,,,,,1,KMI400,KMI160,https://www.floralkmi.com/products/3957bu_rh_cr_4e2069f043f45.jpg,3957bu_rh_cr_4e2069f043f45.jpg,,,KMI800,3957bu_rh_cr_4e2069f043f45.jpg
3957CR-RO-PE,,,,,,https://www.floralkmi.com/product/mixed-berry-garland-with-large-berries-55in-creamrosepeach,,,1,99,,,,,1,KMI400,KMI160,https://www.floralkmi.com/products/3957cr_ro_pe_5474af95c6847.jpg,3957cr_ro_pe_5474af95c6847.jpg,,,KMI800,3957cr_ro_pe_5474af95c6847.jpg
3957GR-BR-CR,,,,,,https://www.floralkmi.com/product/mixed-berry-garland-with-large-berries-55in-green-brown-cream,,,1,99,,,,,1,KMI400,KMI160,https://www.floralkmi.com/products/3957gr_br_cr_4e206a743eef8.jpg,3957gr_br_cr_4e206a743eef8.jpg,,,KMI800,3957gr_br_cr_4e206a743eef8.jpg
3956RE-CR,,,,,,https://www.floralkmi.com/product/mixed-berry-wreath-set-of-2-19-in-dia-10-in-rim-12-in-dia-4-in-rim-redcream,,,1,99,,,,,1,KMI400,KMI160,https://www.floralkmi.com/products/3956re_cr_5390df3fb232a.jpg,3956re_cr_5390df3fb232a.jpg,,,KMI800,3956re_cr_5390df3fb232a.jpg
X3966CR-GR-RU,,,,,,https://www.floralkmi.com/product/drop-greenery-with-pinecones-rust-bells-and-cream-berries-31-in-creamgreenrust,,,1,99,,,,,1,KMI400,KMI160,https://www.floralkmi.com/products/3966cr_gr_ru_4e25aaf21c035.jpg,3966cr_gr_ru_4e25aaf21c035.jpg,,,KMI800,3966cr_gr_ru_4e25aaf21c035.jpg
X3967CR-GR-RU,,,,,,https://www.floralkmi.com/product/drop-greenery-with-three-rust-bells-pinecones-and-cream-berries-175-in-creamgreenrust,,,1,99,,,,,1,KMI400,KMI160,https://www.floralkmi.com/products/3967cr_gr_ru_4e25ab0d01528.jpg,3967cr_gr_ru_4e25ab0d01528.jpg,,,KMI800,3967cr_gr_ru_4e25ab0d01528.jpg
X3968BU-GR-RU,,,,,,https://www.floralkmi.com/product/drop-greenery-with-four-rust-bells-rust-stars-and-burgundy-berries-19in-burgundygreenrust,,,1,99,,,,,1,KMI400,KMI160,https://www.floralkmi.com/products/3968bu_gr_ru_4e25ab663cb05.jpg,3968bu_gr_ru_4e25ab663cb05.jpg,,,KMI800,3968bu_gr_ru_4e25ab663cb05.jpg
X3969CR-GR-RU,,,,,,https://www.floralkmi.com/product/drop-greenery-with-rust-bells-pinecones-and-cream-berries-31-in-creamgreenrust,,,1,99,,,,,1,KMI400,KMI160,https://www.floralkmi.com/products/3969cr_gr_ru_4e25aba4affa2.jpg,3969cr_gr_ru_4e25aba4affa2.jpg,,,KMI800,3969cr_gr_ru_4e25aba4affa2.jpg
X3970BU-GR-RU,,,,,,https://www.floralkmi.com/product/drop-greenery-with-rust-round-bells-rust-stars-and-burgundy-berries-31-in-burgundygreenrust,,,1,99,,,,,1,KMI400,KMI160,https://www.floralkmi.com/products/3970bu_gr_ru_4e25abd48a3da.jpg,3970bu_gr_ru_4e25abd48a3da.jpg,,,KMI800,3970bu_gr_ru_4e25abd48a3da.jpg
4003RE,,,,,,https://www.floralkmi.com/product/mixed-berry-candle-ring-with-large-berries-red-35in-rim-21-in-l,,,1,99,,,,,1,KMI400,KMI160,https://www.floralkmi.com/products/4003re_4e25abfd0ec1d.jpg,4003re_4e25abfd0ec1d.jpg,,,KMI800,4003re_4e25abfd0ec1d.jpg
4105BU-CR,,,,,,https://www.floralkmi.com/product/rice-berry-pick-w-rust-bells-12in-hw-burgundycream,,,1,99,,,,,1,KMI400,KMI160,https://www.floralkmi.com/products/4105bu-cr.jpg,4105bu-cr.jpg,,,KMI800,4105bu-cr.jpg
4105RE,,,,,,https://www.floralkmi.com/product/rice-berry-pick-w-rust-bells-12in-hw-red,,,1,99,,,,,1,KMI400,KMI160,https://www.floralkmi.com/products/4105re.jpg,4105re.jpg,,,KMI800,4105re.jpg
4105RE-CR,,,,,,https://www.floralkmi.com/product/rice-berry-pick-w-rust-bells-12in-hw-redcream,,,1,99,,,,,1,KMI400,KMI160,https://www.floralkmi.com/products/4105re-cr.jpg,4105re-cr.jpg,,,KMI800,4105re-cr.jpg
4105RE-CR,,,,,,https://www.floralkmi.com/product/rice-berry-pick-w-rust-bells-12in-hw-redcream,,,1,99,,,,,1,KMI400,KMI160,https://www.floralkmi.com/products/4105re-cr.jpg,4105re-cr.jpg,,,KMI800,4105re-cr.jpg
4106AGR-CR,,,,,,https://www.floralkmi.com/product/rice-berry-pick-12in-hw-apple-greencream,,,1,99,,,,,1,KMI400,KMI160,https://www.floralkmi.com/products/4106agr-cr.jpg,4106agr-cr.jpg,,,KMI800,4106agr-cr.jpg
4106BU-CR,,,,,,https://www.floralkmi.com/product/rice-berry-pick-12in-hw-burgundycream,,,1,99,,,,,1,KMI400,KMI160,https://www.floralkmi.com/products/4106bu-cr.jpg,4106bu-cr.jpg,,,KMI800,4106bu-cr.jpg
4106CR,,,,,,https://www.floralkmi.com/product/rice-berry-pick-12in-hw-cream,,,1,99,,,,,1,KMI400,KMI160,https://www.floralkmi.com/products/4106cr.jpg,4106cr.jpg,,,KMI800,4106cr.jpg
4106LTGR-LTMA-LTMST,,,,,,https://www.floralkmi.com/product/rice-berry-pick-12in-hw-light-greenlight-mauvelight-mustard,,,1,99,,,,,1,KMI400,KMI160,https://www.floralkmi.com/products/4106ltgr-ltma-ltmst.jpg,4106ltgr-ltma-ltmst.jpg,,,KMI800,4106ltgr-ltma-ltmst.jpg
4106PI-CR,,,,,,https://www.floralkmi.com/product/rice-berry-pick-12in-hw-pinkcream,,,1,99,,,,,1,KMI400,KMI160,https://www.floralkmi.com/products/4106pi-cr.jpg,4106pi-cr.jpg,,,KMI800,4106pi-cr.jpg
4106RE-CR,,,,,,https://www.floralkmi.com/product/rice-berry-pick-12in-hw-redcream,,,1,99,,,,,1,KMI400,KMI160,https://www.floralkmi.com/products/4106re-cr.jpg,4106re-cr.jpg,,,KMI800,4106re-cr.jpg
