Beaujolais Paper Merchandise Bags - Grapes,SE4286 (Grapes),Home > Bags - All Occasion Bags > Beaujolais Paper Shopping Bags >,"1,000 bags per case.
Flat bag with no handles.
Price per case.
Made in the USA.","Beaujolais Paper Merchandise Bags - Grapes
5"" x 2"" x 18"" - 1,000/case",1,$159.00,http://www.packagingsource.com/resize/Shared/Images/Product/Market-Fresh-Paper-Shopping-Bags-Cub-clone/BPP_ALaC_Beaujolais_Wine.jpg?lr=t&bw=500&bh=500,none
Beaujolais Paper Merchandise Bags - Words,SE4287 (Words),Home > Bags - All Occasion Bags > Beaujolais Paper Shopping Bags >,"1,000 bags per case.
Flat bag with no handles.
Price per case.
Made in the USA.","Beaujolais Paper Merchandise Bags - Words
5"" x 2"" x 18"" - 1,000/case",1,$159.00,http://www.packagingsource.com/resize/Shared/Images/Product/Market-Fresh-Paper-Shopping-Bags-Cub-clone/BPP_ALaC_Beaujolais_Wine.jpg?lr=t&bw=500&bh=500,none
Beaujolais Gable Box (Medium),BX4286,Home > Bags - All Occasion Bags > Beaujolais Paper Shopping Bags >,"100 gable boxes per case.
Price per case.
Made in the USA.","Beaujolais Gable Box (Medium)
8"" x 4 3/4"" x 5 1/4"" - 100/case",1,$88.90,http://www.packagingsource.com/resize/Shared/Images/Product/Market-Fresh-Paper-Shopping-Bags-Cub-clone/BPP_ALaC_Beaujolais_Wine.jpg?lr=t&bw=500&bh=500,none
Bees Paper Shopping Bags (Pup),BEE-P,Home > Bags - All Occasion Bags > Bees Paper Shopping Bags >,"Bees Collection Shopping Bags
All Occasion Packaging
100 bags per case
Price per case","Bees Paper Shopping Bags (Pup)
5"" x 3"" x 8"" - 100/case",1,$39.80,http://www.packagingsource.com/resize/images/Bees-Collection.jpg?lr=t&bw=500&bh=500,none
Bees Paper Shopping Bags (Cub),BEE-C,Home > Bags - All Occasion Bags > Bees Paper Shopping Bags >,"Bees Collection Shopping Bags
All Occasion Packaging
100 Bags per case
Price per case","Bees Paper Shopping Bags (Cub)
8"" x 5"" x 10"" - 100/case",1,$49.80,http://www.packagingsource.com/resize/images/Bees-Collection.jpg?lr=t&bw=500&bh=500,none
Bees Paper Shopping Bags (Senior),BEE-S,Home > Bags - All Occasion Bags > Bees Paper Shopping Bags >,"Bees Collection Shopping Bags
All Occasion Packaging
100 Bags per case
Price per case","Bees Paper Shopping Bags (Senior)
13"" x 7"" x 17"" - 100/case",1,$59.60,http://www.packagingsource.com/resize/images/Bees-Collection.jpg?lr=t&bw=500&bh=500,none
Berry Branches Paper Shopping Bags (Pup),S90175,Home > Bags - All Occasion Bags > Berry Branches Paper Shopping Bags >,"Berry Branches Shopping Bags
100% recycled white kraft shopping bags.
100 bags per case.
Price per case.
Made in USA.
We suggest solid limon, sky blue and green tea tissue paper to match.","Berry Branches Paper Shopping Bags (Pup)
5"" x 3"" x 8"" - 100/case",1,$59.90,http://www.packagingsource.com/resize/Shared/Images/Product/Berry-Branches-Shopping-Bags-Pup/berrybranchesshoppingbags.jpg?lr=t&bw=500&bh=500,none
Berry Branches Paper Shopping Bags (Cub),S90176,Home > Bags - All Occasion Bags > Berry Branches Paper Shopping Bags >,"Berry Branches Shopping Bags
100% recycled white kraft shopping bags.
100 bags per case.
Price per case.
Made in USA.
We suggest solid limon, sky blue and green tea tissue paper to match.","Berry Branches Paper Shopping Bags (Cub)
8"" x 5"" x 10"" - 100/case",1,$59.90,http://www.packagingsource.com/resize/Shared/Images/Product/Berry-Branches-Shopping-Bags-Pup/berrybranchesshoppingbags.jpg?lr=t&bw=500&bh=500,none
Berry Branches Paper Shopping Bags (Vogue),S90177,Home > Bags - All Occasion Bags > Berry Branches Paper Shopping Bags >,"Berry Branches Shopping Bags
100% recycled white kraft shopping bags.
100 bags per case.
Price per case.
Made in USA.
We suggest solid limon, sky blue and green tea tissue paper to match.","Berry Branches Paper Shopping Bags (Vogue)
16"" x 6"" x 13"" - 100/case",1,$89.90,http://www.packagingsource.com/resize/Shared/Images/Product/Berry-Branches-Shopping-Bags-Pup/berrybranchesshoppingbags.jpg?lr=t&bw=500&bh=500,none
Black & White Stripes Paper Shopping Bags (Pup),BWS-P,Home > Bags - All Occasion Bags > Black & White Stripes Paper Shopping Bags >,"Black & White Stripes Collection
All Occasion Packaging
100 bags per case
Price per case

This collection features a gloss finish with a folded top for a clean and upscale look.

Available in 4 size shopping bags and coordinating gift wrap.","Black & White Stripes Paper Shopping Bags (Pup)
5"" x 3"" x 8"" - 100 per case",1,$45.90,http://www.packagingsource.com/resize/images/BlackWhiteStripeNEW.jpg?lr=t&bw=500&bh=500,none
