Felt Sheep With Star,CS36067,"Home/Seasonal/Ornaments & Tree Tags/Felt Sheep with Star
1 of 1",$,No desc.,https://thehearthsidecollection.com/shop/images/thumbnails/300/300/product/4/CS36067_blk-star-felt-sheep-orn.jpg?t=1462465780
Fright This Way Sign,33310,"Home/Home Accents/Signs & Blocks/Fright This Way Sign
1 of 1",$,"Fright this Way Sign measures approximately 8"" W. Sign comes complete with wire for easy hanging.

Designed by Barbara Lloyd",https://thehearthsidecollection.com/shop/images/thumbnails/300/300/product/4/33310-framed-fright-this-way.jpg?t=1462465765
Happy Halloween Box Sign,33236,"Home/Home Accents/Signs & Blocks/Happy Halloween Box Sign
1 of 1",$,"Happy Halloween Box Sign measures approximately 5"" H and 11-1/2"" W. Sign features designs of spiderwebs, candy corn, and stars, with the words ""Happy Halloween.""

Designed by Michelle Kildow",https://thehearthsidecollection.com/shop/images/thumbnails/300/300/product/4/33236-halloween.jpg?t=1462465765
"Dripped Pillar - Ivory - 2-1/2""",84376,"Home/Candles/Battery Operated Candles/Pillars/Dripped Pillar - Ivory - 2-1/2""
1 of 1",$,"A shorter version of our battery-operated dripped pillar. Measures 2-1/5"" x 2-1/4"" and has the look of a candle that's been burning for a while, with drips of wax coming down the sides and the top with the uneven look of a melting candle. This candle has a wax coating and a flame shaped tip to give the look and feel of a real candle. Requires 2 AAA batteries (not included).",https://thehearthsidecollection.com/shop/images/thumbnails/300/300/product/4/84376_pathed.jpg?t=1462891265
"Dripped Pillar - Ivory - 3""",84379,"Home/Candles/Battery Operated Candles/Pillars/Dripped Pillar - Ivory - 3""
1 of 1",$,"Our battery-operated pillar measures 3"" x 2-1/5"" and has the look of a candle that's been burning for a while, with drips of wax coming down the sides and the top with the uneven look of a melting candle. This candle has a wax coating and a flame shaped tip to give the look and feel of a real candle. Requires 2 AAA batteries (not included).",https://thehearthsidecollection.com/shop/images/thumbnails/300/300/product/4/84379_background.jpg?t=1462986758
"Dripped Pillar - Ivory - 4""",84382,"Home/Candles/Battery Operated Candles/Pillars/Dripped Pillar - Ivory - 4""
1 of 1",$,"Our battery-operated pillar measures 4"" x 3"" and has the look of a candle that's been burning for a while, with drips of wax coming down the sides and the top with the uneven look of a melting candle. This candle has a wax coating and a flame shaped tip to give the look and feel of a real candle. Requires 2 AAA batteries (not included).",https://thehearthsidecollection.com/shop/images/thumbnails/300/300/product/4/84382_Pathed.jpg?t=1462986758
Large Witch Owl,CS36592-1,"Home/Dolls & Fabric/Large Witch Owl
1 of 3",$,No desc.,https://thehearthsidecollection.com/shop/images/thumbnails/300/300/product/4/CS36592-2_Witch.jpg?t=1461690868
Large Owl,CS36592-2,"Home/Dolls & Fabric/Large Owl
2 of 3",$,No desc.,https://thehearthsidecollection.com/shop/images/thumbnails/300/300/product/4/CS36592-3_Everyday.jpg?t=1462465771
Large Santa Owl,CS36592-3,"Home/Dolls & Fabric/Large Santa Owl
3 of 3",$,No desc.,https://thehearthsidecollection.com/shop/images/thumbnails/300/300/product/4/34163_CS36592-1_Santa.jpg?t=1461690868
Large Bowl,10155,"Home/Home Accents/Large Bowl
1 of 1",$,"Large bowl measuring 12-3/4"" in diameter and 4"" deep is stained to have the natural wood look of authentic treenware at a more affordable price. Would make a great centerpiece for any primitive decor.",https://thehearthsidecollection.com/shop/images/thumbnails/300/300/product/4/10155_Pathed.jpg?t=1463581123
Tall Pumpkin (Small),10108,"Home/Home Accents/Resin/Tall Pumpkin (Small)
1 of 1",$,"Muted orange pumpkin made of resin and measuring 5-1/4"" H x 3-1/4"" W stands on its own and has a dark green and cream speckled look to it. A great piece to add to your autumn decor.",https://thehearthsidecollection.com/shop/images/thumbnails/300/300/product/3/10108.jpg?t=1462465730
Small Witch Owl,CS36593-1,"Home/Dolls & Fabric/Small Witch Owl
1 of 3",$,No desc.,https://thehearthsidecollection.com/shop/images/thumbnails/300/300/product/4/CS36593-2_Witch.jpg?t=1462465771
Small Owl,CS36593-2,"Home/Dolls & Fabric/Small Owl
2 of 3",$,No desc.,https://thehearthsidecollection.com/shop/images/thumbnails/300/300/product/4/CS36593-3_Everyday.jpg?t=1462465771
Small Santa Owl,CS36593-3,"Home/Dolls & Fabric/Small Santa Owl
3 of 3",$,No desc.,https://thehearthsidecollection.com/shop/images/thumbnails/300/300/product/4/CS36593-3_Santa.jpg?t=1462465772
Owl Plates - 3 Asst.,33318,"Home/Home Accents/Wood Decor/Decorative Plates/Owl Plates - 3 asst.
1 of 1",$,"Three assorted round plates each measuring 6-1/4"" in diameter. Plates are lightly colored with designs of greenery, an owl, and a bird.

Designed by Donna White",https://thehearthsidecollection.com/shop/images/thumbnails/300/300/product/4/33318-owl-plates-3.jpg?t=1462465765
Wine Glass Ornament,33303,"Home/Seasonal/Ornaments & Tree Tags/Wine Glass Ornament
1 of 1",$,"Wine Glass Ornaments measure 5"" H x 2-1/4"" W and come complete with a wire for easy hanging. Glasses read, ""Time to wine down."" - ""Wine a little, laugh a lot."" - ""Life is short. Drink the wine.""",https://thehearthsidecollection.com/shop/images/thumbnails/300/300/product/3/33303-wine-glass-orn-asst-3.jpg?t=1462465759
