Small Mug 8oz,V01,Vintage - White with Colored Rim,,,,,,,,8,2.5,White/ Black Rim|White/ Red Rim|White/ Blue Rim|White/ Grey Rim
Small Footed Bowl16oz,V02,Vintage - White with Colored Rim,,,,,,,,8,2.5,White/ Black Rim|White/ Red Rim|White/ Blue Rim|White/ Grey Rim
Short Tumbler 10oz,V03,Vintage - White with Colored Rim,,,,,,,,8,2.99,White/ Black Rim|White/ Red Rim|White/ Blue Rim|White/ Grey Rim
Mug 12oz,V11,Vintage - White with Colored Rim,,,,,,,,8,3.5,White/ Black Rim|White/ Red Rim|White/ Blue Rim|White/ Grey Rim|White/ Turquoise Rim
Jumbo Mug 24oz,V12,Vintage - White with Colored Rim,,,,,,,,4,4.5,White/ Black Rim|White/ Red Rim|White/ Blue Rim|White/ Grey Rim
"""Cereal Bowl 20oz- 6"""" """,V17,Vintage - White with Colored Rim,,,,,,,,8,3.5,White/ Black Rim|White/ Red Rim|White/ Blue Rim|White/ Grey Rim|White/ Turquoise Rim
"""Small Serving Bowl 2qt-8"""" """,V18,Vintage - White with Colored Rim,,,,,,,,4,4.99,White/ Black Rim|White/ Red Rim|White/ Blue Rim|White/ Grey Rim|White/ Turquoise Rim
"""Raised Salad Plate 8"""" """,V19,Vintage - White with Colored Rim,,,,,,,,8,3.5,White/ Black Rim|White/ Red Rim|White/ Blue Rim|White/ Grey Rim|White/ Turquoise Rim
"""Dinner Plate 10"""" """,V20,Vintage - White with Colored Rim,,,,,,,,8,3.99,White/ Black Rim|White/ Red Rim|White/ Blue Rim|White/ Grey Rim|White/ Turquoise Rim
"""Small Open Roaster10.5""""x8""""- 2qt """,V22,Vintage - White with Colored Rim,,,,,,,,4,7.99,White/ Black Rim|White/ Red Rim|White/ Blue Rim|White/ Grey Rim|White/ Turquoise Rim
"""Large Salad Bowl 4qt-10.75"""" """,V23,Vintage - White with Colored Rim,,,,,,,,4,8.99,White/ Black Rim|White/ Red Rim|White/ Blue Rim|White/ Grey Rim|White/ Turquoise Rim
"""Medium Basin 8qt- 14"""" """,V25,Vintage - White with Colored Rim,,,,,,,,4,11.99,White/ Black Rim|White/ Red Rim|White/ Blue Rim|White/ Grey Rim
"""Round Tray 16"""" """,V29,Vintage - White with Colored Rim,,,,,,,,2,13.99,White/ Black Rim
"""Loaf Pan 1.5qt- 9""""x5"""" """,V32,Vintage - White with Colored Rim,,,,,,,,4,8.99,White/ Red Rim|White/ Grey Rim
"""Large Open Roaster3qt- 13""""x10"""" """,V34,Vintage - White with Colored Rim,,,,,,,,2,11.25,White/ Black Rim|White/ Red Rim|White/ Blue Rim|White/ Grey Rim|White/ Turquoise Rim
"""4pc Canister Set 6.75""""-6""""- 5"""" 4.25"""" """,V37,Vintage - White with Colored Rim,,,,,,,,1,26.99,White/ Black Rim|White/ Red Rim|White/ Blue Rim|White/ Grey Rim
"""Large Colander 11"""" """,V44,Vintage - White with Colored Rim,,,,,,,,2,16.99,White/ Red Rim
"""Oval Platter 18"""" """,V61,Vintage - White with Colored Rim,,,,,,,,2,12.99,White/ Black Rim|White/ Red Rim|White/ Blue Rim|White/ Turquoise Rim
"""Jelly Roll/ RectangleTray 16""""x12"""" """,V90,Vintage - White with Colored Rim,,,,,,,,2,12.99,White/ Black Rim|White/ Red Rim|White/ Blue Rim|White/ Grey Rim|White/ Turquoise Rim
Tumbler 14oz,V93,Vintage - White with Colored Rim,,,,,,,,8,3.5,White/ Black Rim|White/ Red Rim|White/ Blue Rim|White/ Grey Rim|White/ Turquoise Rim
"""Oval Plate 11"""" """,V94,Vintage - White with Colored Rim,,,,,,,,4,4.99,White/ Black Rim|White/ Red Rim|White/ Blue Rim|White/ Grey Rim
"""Buffet Plate 12"""" """,V95,Vintage - White with Colored Rim,,,,,,,,4,5.99,White/ Black Rim|White/ Red Rim|White/ Blue Rim|White/ Grey Rim
"""Flat Salad Plate 8"""" """,V99,Vintage - White with Colored Rim,,,,,,,,8,3.5,White/ Black Rim|White/ Red Rim|White/ Blue Rim|White/ Grey Rim|White/ Turquoise Rim
"""Cake Platter 11"""" """,V100,Vintage - White with Colored Rim,,,,,,,,1,15.99,White/ Red Rim
"""Square Brownie Pans2.75qt- 9""""x9"""" """,V101,Vintage - White with Colored Rim,,,,,,,,2,8.99,White/ Red Rim|White/ Turquoise Rim
Jumbo Tumbler 26oz,V110,Vintage - White with Colored Rim,,,,,,,,4,4.99,White/ Black Rim|White/ Red Rim|White/ Blue Rim|White/ Grey Rim
Beverage Dispenser w/Rack 15qt,V300,Vintage - White with Colored Rim,,,,,,,,1,43,White/ Black Rim|White/ Red Rim|White/ Blue Rim|White/ Grey Rim
