18.5 IN MINI GOLDEN SUNFLOWER BUSH,F34042,Home|HOME COLLECTION|GARDEN & FLORAL||,"Minimum quantity for ""18.5 IN MINI GOLDEN SUNFLOWER BUSH"" is 12.",,,,,,,,,,,,,,Harv400,Harv160,https://ragonhouse.com/images/detailed/15/F34042.jpg,F34042.jpg,"18.5""H - Price per bush. Basket contains 8 pieces in the photograph.",,Harv800,F34042.jpg
2 TIERED UNTRIMMED TOPIARY,ST168014,Home|HOME COLLECTION|GARDEN & FLORAL||,"Minimum quantity for ""2 TIERED UNTRIMMED TOPIARY"" is 4.",,,,,,,,,,,,,,Harv400,Harv160,https://ragonhouse.com/images/detailed/15/ST168014.jpg,ST168014.jpg,"7.25""L X 7.25""W X 17.5""H",,Harv800,ST168014.jpg
MEDIUM MACHE TOP HAT SNOWMAN FIGURINE,10026,Home|HOLIDAY & WINTER|HOLIDAY & WINTER||,"Minimum quantity for ""MEDIUM MACHE TOP HAT SNOWMAN FIGURINE"" is 2.",,,,,,,,,,,,,,Harv400,Harv160,https://ragonhouse.com/images/detailed/1/10026.jpg,10026.jpg,"4.25""W x 15""H (RIGHT SIDE OF PHOTOGRAPH)",,Harv800,10026.jpg
"9 FT LARGE SILVER, RED AND GREEN BEAD GARLAND",10111,"Home|HOLIDAY & WINTER|ORNAMENTS, GARLANDS & TREE TOPPERS||","Minimum quantity for ""9 FT LARGE SILVER, RED AND GREEN BEAD GARLAND"" is 6.",,,,,,,,,,,,,,Harv400,Harv160,https://ragonhouse.com/images/detailed/1/10111.jpg,10111.jpg,9'L,,Harv800,10111.jpg
5 IN DEEP RED VELVET BELSNICKLE ORNAMENT,11793,"Home|HOLIDAY & WINTER|ORNAMENTS, GARLANDS & TREE TOPPERS||","Minimum quantity for ""5 IN DEEP RED VELVET BELSNICKLE ORNAMENT"" is 4.",,,,,,,,,,,,,,Harv400,Harv160,https://ragonhouse.com/images/detailed/1/11793.jpg,11793.jpg,"2""L X 2""W X 5.75""H, MACHE",,Harv800,11793.jpg
5 IN SOFT BLUE VELVET BELSNICKLE ORNAMENT,11809,"Home|HOLIDAY & WINTER|ORNAMENTS, GARLANDS & TREE TOPPERS||","Minimum quantity for ""5 IN SOFT BLUE VELVET BELSNICKLE ORNAMENT"" is 4.",,,,,,,,,,,,,,Harv400,Harv160,https://ragonhouse.com/images/detailed/1/11809.jpg,11809.jpg,"2""L X 2""W X 5.75""H, MACHE",,Harv800,11809.jpg
5 IN IVORY VELVET BELSNICKLE ORNAMENT,11813,"Home|HOLIDAY & WINTER|ORNAMENTS, GARLANDS & TREE TOPPERS||","Minimum quantity for ""5 IN IVORY VELVET BELSNICKLE ORNAMENT"" is 4.",,,,,,,,,,,,,,Harv400,Harv160,https://ragonhouse.com/images/detailed/1/11813.jpg,11813.jpg,"2""L X 2""W X 5.75""H, MACHE",,Harv800,11813.jpg
6 IN RUBY VELVET BELSNICKLE ORNAMENT,12364,Home|HOLIDAY & WINTER|HOLIDAY & WINTER||,"Minimum quantity for ""6 IN RUBY VELVET BELSNICKLE ORNAMENT"" is 4.",,,,,,,,,,,,,,Harv400,Harv160,https://ragonhouse.com/images/detailed/2/12364.jpg,12364.jpg,"6""H, MACHE AND VELVET",,Harv800,12364.jpg
LIGHTED RED VINTAGE HOUSE,12565,Home|HOLIDAY & WINTER|HOLIDAY & WINTER||,"Minimum quantity for ""LIGHTED RED VINTAGE HOUSE"" is 1.",,,,,,,,,,,,,,Harv400,Harv160,https://ragonhouse.com/images/detailed/2/12565.jpg,12565.jpg,"12""L X 5""W X 11""H, MACHE (CORD LIGHT INCLUDED)",,Harv800,12565.jpg
RED MERCURY GLASS SNOW COVERED PINE CONE ORNAMENT,13477,Home|Products||,"Minimum quantity for ""RED MERCURY GLASS SNOW COVERED PINE CONE ORNAMENT"" is 12.",,,,,,,,,,,,,,Harv400,Harv160,https://ragonhouse.com/images/detailed/6/13477.jpg,13477.jpg,"3.5""H, MERCURY GLASS",,Harv800,13477.jpg
20 IN MIXED PINE WREATH,M13480,"Home|HOLIDAY & WINTER|TREES, GREENERY & WREATHS||","Minimum quantity for ""20 IN MIXED PINE WREATH"" is 2.",,,,,,,,,,,,,,Harv400,Harv160,https://ragonhouse.com/images/detailed/2/M13480.jpg,M13480.jpg,"20""W",,Harv800,M13480.jpg
