Product Number: F2505,,Detail Name 1:Size is 7″x7″ and is filled with all natural balsam fir.,,,,,,,1,$10.00 ,,,,,1,Paine,Paine,https://paineproducts.com/wp-content/uploads/wpsc/product_images/Ff14.jpg,Ff14.jpg,,,Paine,Ff14.jpg
Printed on muslin cloth and filled with 100% Maine balsam fir.,,Printed on muslin cloth and filled with 100% Maine balsam fir.,,,,,,,Out of stock,$15.00 ,,,,,Out of stock,Paine,Paine,https://paineproducts.com/wp-content/uploads/wpsc/product_images/hs965-25l.jpg,hs965-25l.jpg,,,Paine,hs965-25l.jpg
Product Number: 80229,,Detail Name 1:Size is 16″x27″ and is made of 100% cotton.,,,,,,,1,$10.00 ,,,,,1,Paine,Paine,https://paineproducts.com/wp-content/uploads/wpsc/product_images/80229.jpg,80229.jpg,,,Paine,80229.jpg
Product Number: 39727,,Detail Name 1:Size is 6″x6″ and is filled with all natural balsam fir.,,,,,,,1,$9.50 ,,,,,1,Paine,Paine,https://paineproducts.com/wp-content/uploads/wpsc/product_images/39727.jpg,39727.jpg,,,Paine,39727.jpg
Product Number: 32727,,Detail Name 1:Size is 6″x6″ and is filled with all natural balsam fir.,,,,,,,1,$9.50 ,,,,,1,Paine,Paine,https://paineproducts.com/wp-content/uploads/wpsc/product_images/32727-1.jpg,32727-1.jpg,,,Paine,32727-1.jpg
Product Number: HS953-21,,Embroidered cardinal design balsam filled draft stop. Length is 35 1/2″ long.REDUCED PRICE FROM $25.00 TO $ 15.00!!!,,,,,,,1,$15.00 ,,,,,1,Paine,Paine,https://paineproducts.com/wp-content/uploads/wpsc/product_images/HS953-21L.jpg,HS953-21L.jpg,,,Paine,HS953-21L.jpg
Product Number: 70005,,Detail Name 1:Size is 8″ x 10″ and is filled with all natural balsam fir.,,,,,,,1,$18.00 ,,,,,1,Paine,Paine,https://paineproducts.com/wp-content/uploads/wpsc/product_images/70005.jpg,70005.jpg,,,Paine,70005.jpg
Product Number: F2405,,Detail Name 1:Size is 7″x7″ and is filled with all natural balsam fir.,,,,,,,1,$10.00 ,,,,,1,Paine,Paine,https://paineproducts.com/wp-content/uploads/wpsc/product_images/F04-1.jpg,F04-1.jpg,,,Paine,F04-1.jpg
Product Number: 29047,,Detail Name 1:2 oz. bottle of Sea Rose scented oil.,,,,,,,1,$12.00 ,,,,,1,Paine,Paine,https://paineproducts.com/wp-content/uploads/wpsc/product_images/29047.jpg,29047.jpg,,,Paine,29047.jpg
Product Number: HS504,,Owl design terra cotta oil diffuser with 1/2 ounce balsam oil included.Owl has a jute string attached to hang it in your car or wherever! Whoooooo doesn’t love owls? Size is 3 3/4″x1 3/4″x 1 1/2″.,,,,,,,1,$12.00 ,,,,,1,Paine,Paine,https://paineproducts.com/wp-content/uploads/wpsc/product_images/oil-diffuserlg.jpg,oil-diffuserlg.jpg,,,Paine,oil-diffuserlg.jpg
Product Number: 80232,,Detail Name 1:Size is 17″x27″ and is made of 100% cotton.,,,,,,,1,$10.00 ,,,,,1,Paine,Paine,https://paineproducts.com/wp-content/uploads/wpsc/product_images/80232.jpg,80232.jpg,,,Paine,80232.jpg
Product Number: F2627,,Detail Name 1:Size is 6″x6″ and is filled with all natural balsam fir for a wonderful scent.,,,,,,,1,$9.50 ,,,,,1,Paine,Paine,https://paineproducts.com/wp-content/uploads/wpsc/product_images/F06.jpg,F06.jpg,,,Paine,F06.jpg
Product Number: 29212,,Detail Name 1:2 ounce pump spray bottle.,,,,,,,1,$6.00 ,,,,,1,Paine,Paine,https://paineproducts.com/wp-content/uploads/wpsc/product_images/29212.jpg,29212.jpg,,,Paine,29212.jpg
Product Number: 37421,,Blue plaid design balsam filled draft stop. 35″ in length.,,,,,,,1,$15.00 ,,,,,1,Paine,Paine,https://paineproducts.com/wp-content/uploads/wpsc/product_images/37421-1.jpg,37421-1.jpg,,,Paine,37421-1.jpg
Product Number: HS222,,Detail Name 1:Size is 6.5″x8.5″ and is filled with all natural balsam fir.,,,,,,,1,$15.00 ,,,,,1,Paine,Paine,https://paineproducts.com/wp-content/uploads/wpsc/product_images/hs222-1.jpg,hs222-1.jpg,,,Paine,hs222-1.jpg
