R501-PET Assortment of best-selling pet verses on rocks.,R501-PET,"Home|DOGS|Dog: Rocks - Lg. 5"" x 3""","Description
Includes: 24 rocks at $7.25 each
This rock assortment will vary based on what we’ve found to be our current best sellers.
****If you are just a cat store or just a dog store, please send us a note with your order and we can assort accordingly.
Imprinted stones 5″ x 3″",,,,,,,1,174,24,173.75,,,1,AugCeramics,AugCeramics,https://www.augustceramicswholesale.com/wp-content/uploads/R501-Pet-170.jpg,R501-Pet-170.jpg,,,AugCeramics,R501-Pet-170.jpg,,,R501-Pet-170
2038G Gray Owl Ornament,2038G,Home|LODGE,"Description
GRAY OWL",,,,,,,2,5,24,4.75,,,2,AugCeramics,AugCeramics,https://www.augustceramicswholesale.com/wp-content/uploads/2038g.jpg,2038g.jpg,,,AugCeramics,2038g.jpg,,,2038g
6174B- Mini Dish “We’ll be friends until we’re old and senile…”,6174B-,"Home|Dishes: mini 3""","Description
Fern with Dragonfly
We’ll be friends until we’re old and senile, then we’ll be new friends.",,,,,,,2,5,24,4.75,,,2,AugCeramics,AugCeramics,https://www.augustceramicswholesale.com/wp-content/uploads/6174B.jpg,6174B.jpg,,,AugCeramics,6174B.jpg,,,6174B
6174A- Mini Dish “A daughter is a little girl that grows up to be a friend.”,6174A-,"Home|Dishes: mini round 3.5""","Description
Fern with Dragonfly
A daughter is a little girl that grows up to be a friend.",,,,,,,1,5,,,,,1,AugCeramics,AugCeramics,https://www.augustceramicswholesale.com/wp-content/uploads/6174A.jpg,6174A.jpg,,,AugCeramics,6174A.jpg,,,6174A
"2150-LINY “Long Island, New York”",2150-LINY,Home|Disk Hangers,"Description
“Long Island, New York”
Long Island Bridge, New York",,,,,,,2,4.5,24,4.25,,,2,AugCeramics,AugCeramics,https://www.augustceramicswholesale.com/wp-content/uploads/2150-LINY.jpg,2150-LINY.jpg,,,AugCeramics,2150-LINY.jpg,,,2150-LINY
6134B- Mini Dish “Of all the stories told through time…”,6134B-,"Home|Dishes: mini 3""","Description
Adirondack Chair
Of all the stories told through time, nothing compares to yours & mine.",,,,,,,2,5,24,4.75,,,2,AugCeramics,AugCeramics,https://www.augustceramicswholesale.com/wp-content/uploads/6134B.jpg,6134B.jpg,,,AugCeramics,6134B.jpg,,,6134B
2128B-Red “We may not have it all together but together we have it all.”,2128B-Red,Home|Disk Hangers,"Description
RED CRAB- We may not have it all together but together we have it all.",,,,,,,2,4.5,24,4.25,,,2,AugCeramics,AugCeramics,https://www.augustceramicswholesale.com/wp-content/uploads/2128B-R.jpg,2128B-R.jpg,,,AugCeramics,2128B-R.jpg,,,2128B-R
"8150-LIB “Long Island, is where our story begins.”",8150-LIB,"Home|Paper-weights 4"" x 3""","Description
“Long Island, is where our story begins.”
Long Island Bridge, New York",,,,,,,2,6,24,5.75,,,2,AugCeramics,AugCeramics,https://www.augustceramicswholesale.com/wp-content/uploads/8150-LIB.jpg,8150-LIB.jpg,,,AugCeramics,8150-LIB.jpg,,,8150-LIB
BLRD-Beach – Display Box with 48 Mini 3.5″ Beach-themed dishes,BLRD-Beach,Home|DISPLAYS,"Description
Wooden display box $30.
Size 10″H x 14″W x 10″D
The display comes with:
– 48 Beach-themed at $4.75 each.
– 12 designs x 4 each
– 4 Extra FREE dishes to offset the cost of the box.
– Information cards that read “Uses include spoon rest, tea-bag rest, ring dish or accent dish, lead-free & Dish-washer safe”",,,,,,,1,258,,,,,1,AugCeramics,AugCeramics,https://www.augustceramicswholesale.com/wp-content/uploads/BLRD-Beach.jpg,BLRD-Beach.jpg,,,AugCeramics,BLRD-Beach.jpg,,,BLRD-Beach
3236A “Welcome Family & Friends.”,3236A,Home|LODGE,"Description
Welcome Family & Friends.
Covered bridge",,,,,,,2,4.5,24,4.25,,,2,AugCeramics,AugCeramics,https://www.augustceramicswholesale.com/wp-content/uploads/3236A.jpg,3236A.jpg,,,AugCeramics,3236A.jpg,,,3236A
3238A “May you never be too busy..”,3238A,Home|LODGE,"Description
May you never be too busy to spend a whole day doing absolutely nothing.
Canadian Goose",,,,,,,2,4.5,24,4.25,,,2,AugCeramics,AugCeramics,https://www.augustceramicswholesale.com/wp-content/uploads/3238A.jpg,3238A.jpg,,,AugCeramics,3238A.jpg,,,3238A
3239B “Collect moments not things.”,3239B,Home|LODGE,"Description
Collect moments not things.
Adirondack Chair",,,,,,,2,4.5,24,4.25,,,2,AugCeramics,AugCeramics,https://www.augustceramicswholesale.com/wp-content/uploads/3239B.jpg,3239B.jpg,,,AugCeramics,3239B.jpg,,,3239B
"3239A “When I count my blessings, I count the days at the lake twice.”",3239A,Home|LODGE,"Description
When I count my blessings, I count the days at the lake twice.
Adirondack Chair",,,,,,,2,4.5,24,4.25,,,2,AugCeramics,AugCeramics,https://www.augustceramicswholesale.com/wp-content/uploads/3239A.jpg,3239A.jpg,,,AugCeramics,3239A.jpg,,,3239A
"3150-NYB “Brooklyn, NY”",3150-NYB,Home|Disk Magnets,"Description
“Brooklyn, NY”
Brooklyn Bridge in New York",,,,,,,2,4.5,24,4.25,,,2,AugCeramics,AugCeramics,https://www.augustceramicswholesale.com/wp-content/uploads/3150-NYB.jpg,3150-NYB.jpg,,,AugCeramics,3150-NYB.jpg,,,3150-NYB
"R405″Even if you weren’t my Mother, I’d still choose you as a friend.”",R405″Even,Home|Seasons & Holidays|MOTHER'S DAY,"Description
Even if you weren’t my mother, I’d still choose you as my friend.",,,,,,,2,7.5,24,7.25,,,2,AugCeramics,AugCeramics,https://www.augustceramicswholesale.com/wp-content/uploads/2016/01/R405.jpg,R405.jpg,,,AugCeramics,R405.jpg,,,R405
"2150-NYB “Brooklyn, New York”",2150-NYB,Home|Disk Hangers,"Description
“Brooklyn, NY”
Brooklyn Bridge",,,,,,,2,4.5,24,4.25,,,2,AugCeramics,AugCeramics,https://www.augustceramicswholesale.com/wp-content/uploads/2150-NYB.jpg,2150-NYB.jpg,,,AugCeramics,2150-NYB.jpg,,,2150-NYB
8156C “I love the nights I can’t remember with the friends I can’t forget.”,8156C,"Home|Paper-weights 4"" x 3""","Description
I love the nights I can’t remember with the friends I can’t forget.",,,,,,,2,6,24,5.75,,,2,AugCeramics,AugCeramics,https://www.augustceramicswholesale.com/wp-content/uploads/2016/12/8156C.jpg,8156C.jpg,,,AugCeramics,8156C.jpg,,,8156C
6168A- Mini Dish “Life is not about waiting for the storm to pass…”,6168A-,"Home|Dishes: mini round 3.5""","Description
Yellow Flower
Life is not about waiting for the storm to pass it’s about learning to dance in the rain.",,,,,,,1,5,,,,,1,AugCeramics,AugCeramics,https://www.augustceramicswholesale.com/wp-content/uploads/6168A.jpg,6168A.jpg,,,AugCeramics,6168A.jpg,,,6168A
