2 Assorted Black & White Dog Signs - 11.8 x 15.75 x 1 in,WAF34653-2A,,,Rick Stuart,"""Arriving Later This Year, Preorder Now!""",,,,,6,15.95,12,13.95,16,12.95,6,WingTai400,WingTai160,https://www.wtcollectionshowroom.com/store/media/WAF34653-2A.jpg,WAF34653-2A.jpg,,,WingTai800,WAF34653-2A.jpg
Giancarlo & Gigi Boy and Girl Lavender Gnomes - 5.9 x 4.33 x 14.2 in each,DAF31914-2A,,,Rick Stuart,"""Arriving Later This Year, Preorder Now!""",,,,,12,11.99,24,10.99,36,9.99,12,WingTai400,WingTai160,https://www.wtcollectionshowroom.com/store/media/DAF31914-2A.jpg,DAF31914-2A.jpg,,,WingTai800,DAF31914-2A.jpg
2 Assorted Black & White Paw Prints / Kiss Your Dog Signs - 11.8x 15.75 x 1 in each,WAF34774-2A,,,Rick Stuart,"""Arriving Later This Year, Preorder Now!""",,,,,8,9.45,16,8.35,32,7.75,8,WingTai400,WingTai160,https://www.wtcollectionshowroom.com/store/media/WAF34774-2A.jpg,WAF34774-2A.jpg,,,WingTai800,WAF34774-2A.jpg
Dark Wood Short Vase - 4.5 x 4.5 x 6.1 in,WAF34685,,,Rick Stuart,"""Arriving Later This Year, Preorder Now!""",,,,,4,12.95,8,11.95,16,10.95,4,WingTai400,WingTai160,https://www.wtcollectionshowroom.com/store/media/WAF34685.jpg,WAF34685.jpg,,,WingTai800,WAF34685.jpg
White Wood Tall Vase - 4.5 x 4.5 x 11 in,WAF34684,,,Rick Stuart,"""Arriving Later This Year, Preorder Now!""",,,,,2,18.99,6,16.99,12,15.99,2,WingTai400,WingTai160,https://www.wtcollectionshowroom.com/store/media/WAF34684.jpg,WAF34684.jpg,,,WingTai800,WAF34684.jpg
White Wood Short Vase -4.5 x 4.5 x 6.1 in,WAF34683,,,Rick Stuart,"""Arriving Later This Year, Preorder Now!""",,,,,4,12.95,8,11.95,16,10.95,4,WingTai400,WingTai160,https://www.wtcollectionshowroom.com/store/media/WAF34683.jpg,WAF34683.jpg,,,WingTai800,WAF34683.jpg
Dark Wood Tall Vase - 4.5 x 4.5 x 11 in,WAF34682,,,Rick Stuart,"""Arriving Later This Year, Preorder Now!""",,,,,2,18.99,6,16.99,12,15.99,2,WingTai400,WingTai160,https://www.wtcollectionshowroom.com/store/media/WAF34682.jpg,WAF34682.jpg,,,WingTai800,WAF34682.jpg
Hanging Ladder Shelf - 13 x 16.9 x 24 in,WAF34680,,,Rick Stuart,"""Arriving Later This Year, Preorder Now!""",,,,,2,22.95,6,20.95,12,18.95,2,WingTai400,WingTai160,https://www.wtcollectionshowroom.com/store/media/WAF34680.jpg,WAF34680.jpg,,,WingTai800,WAF34680.jpg
Small Boho Hanging Planter - 4.5 x 4.5 x 5.2 in / 12 in hanging,PAF34160,,,Rick Stuart,"""Arriving Later This Year, Preorder Now!""",,,,,8,6.99,16,6.49,24,5.99,8,WingTai400,WingTai160,https://www.wtcollectionshowroom.com/store/media/PAF34160.jpg,PAF34160.jpg,,,WingTai800,PAF34160.jpg
Bee Positive Wood Sign - 2 x 1 x 8 in,WAF11149,,,Rick Stuart,In Stock,,,,,6,3.99,24,3.59,48,3.29,6,WingTai400,WingTai160,https://www.wtcollectionshowroom.com/store/media/WAF11149.jpg,WAF11149.jpg,,,WingTai800,WAF11149.jpg
3 Assorted Burlap and Tan Chevron Planters - 9 x 11 in (lg) / 7 x 9 in (md) / 5 x 7 in (sm),BAQ34215-3A,,,Rick Stuart,"""Arriving Later This Year, Preorder Now!""",,,,,6,11.99,30,10.99,60,9.99,6,WingTai400,WingTai160,https://www.wtcollectionshowroom.com/store/media/BAQ34215-3A.jpg,BAQ34215-3A.jpg,,,WingTai800,BAQ34215-3A.jpg
Black Tray with Center Handle - 9.25 x 2.6 x 10.6 in,WAF34764BK,,,Rick Stuart,"""Arriving Later This Year, Preorder Now!""",,,,,6,12.95,12,11.95,24,10.95,6,WingTai400,WingTai160,https://www.wtcollectionshowroom.com/store/media/WAF34764BK.jpg,WAF34764BK.jpg,,,WingTai800,WAF34764BK.jpg
Set of 2 Silos on Stands - 7.1 x 7.1 x 18.5 in (large) / 5.9 x 5.9 x 15.35 in (small),MAF34748-2S,,,Rick Stuart,"""Arriving Later This Year, Preorder Now!""",,,,,2,34.99,6,30.99,12,28.99,2,WingTai400,WingTai160,https://www.wtcollectionshowroom.com/store/media/MAF34748-2S.jpg,MAF34748-2S.jpg,,,WingTai800,MAF34748-2S.jpg
