PAT192- PATRIOT,PAT192-1114PP6,"This item is also available as a magnet!
Print Measures 11X14 inches without frame.
The tobacco lath frames are rustic in nature and may contain natural flaws and imperfections.
""Patriot"" image with a colonial feel. 
 ",$9.00,http://cdn3.bigcommerce.com/s-wb4uepr7/products/1684/images/5879/BlackCornerSample__11623.1451749893.490.588.jpg?c=2
PAT192- PATRIOT,PAT192-1114PA0P6,"This item is also available as a magnet!
Print Measures 11X14 inches without frame.
The tobacco lath frames are rustic in nature and may contain natural flaws and imperfections.
""Patriot"" image with a colonial feel. 
 ",$9.00,http://cdn3.bigcommerce.com/s-wb4uepr7/products/1684/images/5879/BlackCornerSample__11623.1451749893.490.588.jpg?c=2
PAT192- PATRIOT,PAT192-1114PBBP6,"This item is also available as a magnet!
Print Measures 11X14 inches without frame.
The tobacco lath frames are rustic in nature and may contain natural flaws and imperfections.
""Patriot"" image with a colonial feel. 
 ",$15.00,http://cdn3.bigcommerce.com/s-wb4uepr7/products/1684/images/5879/BlackCornerSample__11623.1451749893.490.588.jpg?c=2
PAT192- PATRIOT,PAT192-1114PBMP6,"This item is also available as a magnet!
Print Measures 11X14 inches without frame.
The tobacco lath frames are rustic in nature and may contain natural flaws and imperfections.
""Patriot"" image with a colonial feel. 
 ",$9.00,http://cdn3.bigcommerce.com/s-wb4uepr7/products/1684/images/5879/BlackCornerSample__11623.1451749893.490.588.jpg?c=2
BJ1062 - BE A LIGHT,BJ1062-1216PP14,"""BE A LIGHT IN THE DARKNESS""
This item is also available as a magnet!
Print Measures 12X16 inches without frame.
The tobacco lath frames are rustic in nature and may contain natural flaws and imperfections.",$9.00,http://cdn3.bigcommerce.com/s-wb4uepr7/products/1507/images/5868/BJ1062_LRG_550x550__74087.1451589747.490.588.jpg?c=2
BJ1062 - BE A LIGHT,BJ1062-1216PA1P15,"""BE A LIGHT IN THE DARKNESS""
This item is also available as a magnet!
Print Measures 12X16 inches without frame.
The tobacco lath frames are rustic in nature and may contain natural flaws and imperfections.",$9.00,http://cdn3.bigcommerce.com/s-wb4uepr7/products/1507/images/5868/BJ1062_LRG_550x550__74087.1451589747.490.588.jpg?c=2
BJ1062 - BE A LIGHT,BJ1062-1216PBBP15,"""BE A LIGHT IN THE DARKNESS""
This item is also available as a magnet!
Print Measures 12X16 inches without frame.
The tobacco lath frames are rustic in nature and may contain natural flaws and imperfections.",$15.50,http://cdn3.bigcommerce.com/s-wb4uepr7/products/1507/images/5868/BJ1062_LRG_550x550__74087.1451589747.490.588.jpg?c=2
BJ1062 - BE A LIGHT,BJ1062-1216PBMP15,"""BE A LIGHT IN THE DARKNESS""
This item is also available as a magnet!
Print Measures 12X16 inches without frame.
The tobacco lath frames are rustic in nature and may contain natural flaws and imperfections.",$9.00,http://cdn3.bigcommerce.com/s-wb4uepr7/products/1507/images/5868/BJ1062_LRG_550x550__74087.1451589747.490.588.jpg?c=2
BOY170 - Only in the Country,BOY170-1216PP14,"NEW: Product now available as a refrigerator magnet!
  This product measures 12x16 inches without the frame.
  The tobacco lath frames are rustic in nature and may contain natural flaws and imperfections.
  ""Only in the Country""
Two little boys peeing on the side of a barn.",$9.00,http://cdn3.bigcommerce.com/s-wb4uepr7/products/1074/images/3641/BOY170_LRG_550x550__28734.1435861460.490.588.jpg?c=2
BOY170 - Only in the Country,BOY170-1216PA5P14,"NEW: Product now available as a refrigerator magnet!
  This product measures 12x16 inches without the frame.
  The tobacco lath frames are rustic in nature and may contain natural flaws and imperfections.
  ""Only in the Country""
Two little boys peeing on the side of a barn.",$9.00,http://cdn3.bigcommerce.com/s-wb4uepr7/products/1074/images/3641/BOY170_LRG_550x550__28734.1435861460.490.588.jpg?c=2
BOY170 - Only in the Country,BOY170-1216PBBP14,"NEW: Product now available as a refrigerator magnet!
  This product measures 12x16 inches without the frame.
  The tobacco lath frames are rustic in nature and may contain natural flaws and imperfections.
  ""Only in the Country""
Two little boys peeing on the side of a barn.",$15.50,http://cdn3.bigcommerce.com/s-wb4uepr7/products/1074/images/3641/BOY170_LRG_550x550__28734.1435861460.490.588.jpg?c=2
