"12"" Dark Green",stardarkgreen12,"12"" Stars|||||||||",Corruggated tin salvaged from barn roofs has primitive weathered appearance. Each star has unique wear and rusting. This size ships assembled in 1 piece. Metal tab on rear for hanging.,,,,1,"12""",1,10.00,,0.00,,0.00,1,stardarkgreen12.jpg,
"12"" Light Green",starlightgreen12,"12"" Stars|||||||||",Corruggated tin salvaged from barn roofs has primitive weathered appearance. Each star has unique wear and rusting. This size ships assembled in 1 piece. Metal tab on rear for hanging.,,,,1,"12""",1,10.00,,0.00,,0.00,1,starlightgreen12.jpg,
"12"" Mustard",starmustard12,"12"" Stars|||||||||",Corruggated tin salvaged from barn roofs has primitive weathered appearance. Each star has unique wear and rusting. This size ships assembled in 1 piece. Metal tab on rear for hanging.,,,,1,"12""",1,10.00,,0.00,,0.00,1,staryellow12.jpg,
"12"" Rust (unpainted)",starrust12,"12"" Stars|||||||||",Corruggated tin salvaged from barn roofs has primitive weathered appearance. Each star has unique wear and rusting. This size ships assembled in 1 piece. Metal tab on rear for hanging.,,,,1,"12""",1,10.00,,0.00,,0.00,1,starrust400.jpg,
"12"" White",starwhite12,"12"" Stars|||||||||",Corruggated tin salvaged from barn roofs has primitive weathered appearance. Each star has unique wear and rusting. This size ships assembled in 1 piece. Metal tab on rear for hanging.,,,,1,"12""",1,10.00,,0.00,,0.00,1,starwhite12.jpg,
"22"" Barn Red",starred22,"22"" Stars|||||||||",Corruggated tin salvaged from barn roofs has primitive weathered appearance. Each star has unique wear and rusting. This size ships assembled in 1 piece. Metal tab on rear for hanging.,,,,1,"22""",1,19.00,,0.00,,0.00,1,starred22.jpg,
"22"" Black",starblack22,"22"" Stars|||||||||",Corruggated tin salvaged from barn roofs has primitive weathered appearance. Each star has unique wear and rusting. This size ships assembled in 1 piece. Metal tab on rear for hanging.,,,,1,"22""",1,19.00,,0.00,,0.00,1,starblack22.jpg,
"22"" Blue",starblue22,"22"" Stars|||||||||",Corruggated tin salvaged from barn roofs has primitive weathered appearance. Each star has unique wear and rusting. This size ships assembled in 1 piece. Metal tab on rear for hanging.,,,,1,"22""",1,19.00,,0.00,,0.00,1,starblue22.jpg,
"22"" Dark Green",stardarkgreen22,"22"" Stars|||||||||",Corruggated tin salvaged from barn roofs has primitive weathered appearance. Each star has unique wear and rusting. This size ships assembled in 1 piece. Metal tab on rear for hanging.,,,,1,"22""",1,19.00,,0.00,,0.00,1,stardarkgreen22.jpg,
"22"" Light Green",starlightgreen22,"22"" Stars|||||||||",Corruggated tin salvaged from barn roofs has primitive weathered appearance. Each star has unique wear and rusting. This size ships assembled in 1 piece. Metal tab on rear for hanging.,,,,1,"22""",1,19.00,,0.00,,0.00,1,starlightgreen22.jpg,
