"FARMER'S ROW LONG RUNNER GREY/CREME 14""X56"" AVAIL SEPT 2017",40319GCLR,No cat,2,$7.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/40319GC.jpg,40319GC.jpg
"COTTAGE CHECK GREY/CREAM LONG RUNNER 14""X56"" AVAIL AUG 2017",40321GLR,No cat,2,$7.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/40321G.jpg,40321G.jpg
"COTTAGE CHECK GRAY/NAVY LONG RUNNER 14""X56"" AVAIL AUG 2017",40321NLR,No cat,2,$7.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/40321N.jpg,40321N.jpg
"COTTAGE CHECK TAN/RED LONG RUNNER 14""X56"" AVAIL AUG 2017",40321RLR,No cat,2,$7.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/40321R.jpg,40321R.jpg
"COTTAGE CHECK TAN/BLACK LONG RUNNER 14""X56"" AVAIL AUG 2017",40321TBLR,No cat,2,$7.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/40321TB.jpg,40321TB.jpg
"COTTAGE CHECK TAN/NAVY LONG RUNNER 14""X56"" AVAIL AUG 2017",40321TNLR,No cat,2,$7.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/40321TN.jpg,40321TN.jpg
"MINI ""S"" HOOK",50SH,No cat,12,$1.35 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/50SH.jpg,50SH.jpg
"FARMHOUSE BLACK & MUSTARD LONG RUNNER 14"" X 56""",67BMLR,No cat,2,$7.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/puritan-runners-and-placemats.jpg,puritan-runners-and-placemats.jpg
"CREAM & RED FARMHOUSE RUG 27""X48""",67CR2748,No cat,2,$10.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/puritan-rag-rugs.jpg,puritan-rag-rugs.jpg
"FARMHOUSE CREAM & RED LONG RUNNER 14"" X 56""",67CRLR,No cat,2,$7.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/puritan-runners-and-placemats.jpg,puritan-runners-and-placemats.jpg
"FARMHOUSE TAN & WHITE LONG RUNNER 14"" X 56""",67TWLR,No cat,2,$7.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/puritan-runners-and-placemats.jpg,puritan-runners-and-placemats.jpg
"HAMPTON WEAVE MUSTARD/ BLACK LONG RUNNER 14"" X 56""",A23LR,No cat,2,$7.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/hampton-weave-bm.jpg,hampton-weave-bm.jpg
"HAMPTON WEAVE PUMPKIN/BLACK THROW 52"" X 74""",A23PBT,No cat,2,$25.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/A23PB.jpg,A23PB.jpg
"HAMPTON WEAVE MUSTARD/BLACK SHORT RUNNER 14"" X 32""",A23SR,No cat,2,$5.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/hampton-weave-bm.jpg,hampton-weave-bm.jpg
"HAMPTON WEAVE BLACK/TAN LONG RUNNER 14"" X 56""",A24LR,No cat,2,$7.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/A23LR.jpg,A23LR.jpg
"HAMPTON WEAVE BLACK/TAN SHORT RUNNER 14"" X 32""",A24SR,No cat,2,$5.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/A23SR.jpg,A23SR.jpg
"PREACHERS KNOT LONG RUNNER BLACK/TAN 14"" X 56""",A3LR,No cat,2,$7.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/preachers-knot.jpg,preachers-knot.jpg
"PREACHERS KNOT PUMPKIN/BLACK THROW 52"" X 74""",A3PBT,No cat,2,$25.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/PKP.jpg,PKP.jpg
"PREACHERS KNOT 52"" TABLE SQUARE PUMPKIN/BLACK",A3PBTS,No cat,2,$17.50 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/PKP.jpg,PKP.jpg
"PREACHERS KNOT SHOWER CURTAIN CRANBERRY/TAN 72"" X 72""",A3RTSH,No cat,2,$25.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/PKR.png,PKR.png
"PREACHERS KNOT VALANCE CRANBERRY/TAN 72"" X 15.5""",A3RTV,No cat,2,$8.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/PKR.png,PKR.png
"PREACHERS KNOT SHORT RUNNER BLACK/TAN 14"" X 32"" AVAILABLE AUGUST 2017",A3SR,No cat,2,$5.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/preachers-knot.jpg,preachers-knot.jpg
"AMERICAN STAR GREEN LONG RUNNER 14"" X 56""",A5LR,No cat,2,$7.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/american-star-pattern-green_600x450.jpg,american-star-pattern-green_600x450.jpg
"AMERICAN STAR GREEN SHORT RUNNER 14"" X 32""",A5SR,No cat,2,$5.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/american-star-pattern-green_600x450.jpg,american-star-pattern-green_600x450.jpg
EAGLE WRISTLET,AMA66,No cat,2,$4.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/AMA66_600x466.jpg,AMA66_600x466.jpg
BLUE STRIPE WRISTLET,AMA68,No cat,2,$4.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/AMA68_600x501.jpg,AMA68_600x501.jpg
