ALP1240-1824PBBP18
BJ1022-1216PBBP13
BJ1070-1236PBBP2
BJ1076-1236PBBP3
BJ1078A-618PBBP5
BJ1088-1630PBBP7
BJ1098H-1824PBBP4
BJ1104A-1824PBBP18
BJ1113A-1824PBBP17
BJ1128-1216PBBP14
BJ122-1216PBBP13
BJ124-1216PBBP13
BJ145B-1218PBBP4
BJ153-1218PBBP2
BJ154-1218PBBP4
BJ155-1218PBBP22
BJ156-1218PBBP22
BJ175-1218PBBP22
BJ187-1218PBBP21
BJ197-1218PBBP12
BJ219-1216PBBP14
BJ405-1218PBBP22
BJ454-1216PBBP4
BJ457-1218PBBP3
BOY373-1216PBBP14
BR209-1114PBBP5
BR210-1114PBBP5
CIN111-1216PBBP13
CIN111-1216PBBP13
CIN213-824PBBP10
CIN215-824PBBP10
COW128B-1216PBBP14
COW215C-618PBBP5
DM100-1216KTBBP13
ED173A-1216PBBP14
ED233-1212PBBP13
GE304-918PBBP6
GE307-918PBBP6
JP4235-1218JPBBP12
JP4758-1216JPBBP15
JP5077-818JPBBP5
JP5302-918JPBBP5
JR270-1216PBBP13
JR7C-1216PBBP14
KB145B-918PBBP6
KT036-1218KTBBP22
KT037-1218KTBBP22
KT135-1218KTBBP22
KT139-1212KTBBP13
KT260-636KTBBP10
LD255-1218PBBP22
LD415-1216PBBP3
LD477-1218PBBP21
LD715-918PBBP6
LD715B-1216PBBP15
LS1313-918PBBP6
MA1072B-1216PBBP15
MA1121-1216PBBP13
MA2137-1216PBBP14
MA2360-1216PBBP13
MA2516-1218PBBP22
MA681-1218PBBP21
MA972-1236PBBP9
MARY435-1630PBBP7
MAZ5038-1218PBBP22
NFA114-1218PBBP21
NFA190-1824PBBP18
RLV366-1216PBBP14
SB281A-1216PBBP14
TC103-918KTBBP6
LS1243A-810PBBP23
MOL905B-88PBBP23
RAD779A-88PBBP23
MA630A-88PBBP23
BJ1076-618PBBP4
BJ1133-1216PBBP14
BJ1133A-1824PBBP17
MAZ5038A-1824PBBP18
JJ780A-1620PBBP11
MA1126-1824PBBP18
DD1596-1216PBBP14
DS931-1212PBBP16
JP5368-918JPBBP5
ANT126-1216PBBP14
RAD1281-824PBBP10
RAD1296-824PBBP10
LS1622-824PBBP10
LS1648-824PBBP10
BOY384-1216PBBP13
MMD144-1218PBBP12
BJ196-1218PBBP22
CIN816-810PBBP23
KT3062A-810KTBBP23
JP2762-88BBP23
JP5393-1218JPBBP22
ED366-1216PBBP14
DS1487-1216PBBP14
DS1479A-1216PBBP15
DS1496-918PBBP6
DS1519A-1216PBBP15
JR270-1216BOXP13
LS1313-918BOXP6
BR209-1114BOXP5
BR210-1114BOXP5
ED173A-1216BOXP14
JR7C-1216BOXP14
BJ175-1218BOXP22
BJ187-1218BOXP21
BJ405-1218BOXP22
KB145B-918BOXP6
BJ145B-1218BOXP4
LD415-1216BOXP3
JP4235-1218BOXP12
MA1121-1216BOXP13
BJ153-1218BOXP2
BJ1070-1236BOXP2
COW215C-618BOXP5
BJ155-1218BOXP22
BJ219-1216BOXP14
LD255-1218BOXP22
ED233-1212BOXP13
LD477-1218BOXP21
COW128B-1216BOXP14
MA2137-1216BOXP14
LD715B-1216BOXP15
MA1072B-1216BOXP15
BJ1098H-1824BOXP4
LD715-918BOXP6
GE307-918BOXP6
GE304-918BOXP6
BJ1076A-618BOXP3
MA2360-1216BOXP13
KT036-1218BOXP22
KT037-1218BOXP22
KT135-1218BOXP22
KT139-1212BOXP13
RLV366-1216BOXP14
BOY373-1216BOXP14
TC103-918BOXP6
DM100-1216BOXP13
NFA114-1218BOXP21
BJ1128-1216BOXP14
SB281A-1216BOXP14
CIN111-1216BOXP13
CIN111-1216BOXP13
JP5302-918BOXP5
JP5077-818BOXP5
JP4758-1216BOXP15
BJ156-1218BOXP22
MA2516-1218BOXP22
MAZ5038-1218BOXP22
BJ457-1218BOXP3
BJ1022-1216BOXP13
BJ124-1216BOXP13
BJ197-1218BOXP12
BJ122-1216BOXP13
BJ454-1216BOXP4
BJ1133-1216BOXP14
BJ1133A-1824P17
DD1596-1216BOXP14
DS931-1212BOXP16
JP5368-918BOXP5
ANT126-1216BOXP14
BOY384-1216BOXP13
MMD144-1218BOXP12
BJ196-1218BOXP22
DS1487-1216BOXP14
DS1479A-1216BOXP15
DS1496-918BOXP6
DS1519A-1216BOXP15
ALP1240-1824BOXP18
BJ1078A-618BOXP5
BJ1104A-1824BOXP18
BJ1113A-1824BOXP17
CIN213-824BOXP10
CIN215-824BOXP10
JJ780A-1620BOXP11
LS1622-824BOXP10
LS1648-824BOXP10
MA1126-1824BOXP18
MAZ5038A-1824BOXP18
NFA190-1824BOXP18
RAD1281-824BOXP10
RAD1296-824BOXP10
JR270-1216PGWP13
LS1313-918PGWP6
BR209-1114PGWP5
BR210-1114PGWP5
MARY435-1630PGWP7
ED173A-1216PGWP14
JR7C-1216PGWP14
BJ175-1218PGWP22
BJ187-1218PGWP21
BJ405-1218PGWP22
KB145B-918PGWP6
MA681-1218PGWP21
BJ145B-1218PGWP4
LD415-1216PGWP3
LS1243A-810PGWP23
MA972-1236PGWP9
JP4235-1218JPGWP12
MA1121-1216PGWP13
BJ153-1218PGWP2
BJ1076-1236PGWP3
BJ1070-1236PGWP2
BJ1088-1630PGWP7
COW215C-618PGWP5
BJ154-1218PGWP4
BJ155-1218PGWP22
BJ219-1216PGWP14
LD255-1218PGWP22
ED233-1216PGWP13
ALP1240-1824PGWP18
MOL905B-88PGWP23
RAD779A-88PGWP23
MA630A-88PGWP23
LD477-1218PGWP21
COW128B-1216PGWP14
MA2137-1216PGWP14
LD715B-1216LDGWP15
MA1072B-1216PGWP15
BJ1098H-1824PGP4
LD715-918PGWP6
GE307-918PGWP6
GE304-918PGWP6
BJ1076A-618PGWP4
BJ1104A-1824PGWP18
MA2360-1216PGWP13
BJ1113A-1824PGWP17
KT036-1218KTGWP22
KT037-1218KTGWP22
KT135-1218KTGWP22
KT139-1212KTGWP13
RLV366-1216PGWP14
BOY373-1216PGWP14
TC103-918KTGWP6
KT260-636KTGWP10
DM100-1216KTGWP13
NFA114-1218PGWP21
BJ1128-1216PGWP14
SB281A-1216PGWP14
CIN111-1216PGWP13
CIN111-1216PGWP13
CIN215-824PGWP10
JP5302-918JPGWP5
JP5077-818JPGWP5
JP4758-1216JPGWP15
CIN213-824PGWP10
BJ156-1218PGWP22
BJ1078A-618PGWP5
NFA190-1824PGWP18
MA2516-1218PGWP22
MAZ5038-1218PGWP22
BJ457-1218PGWP3
BJ1022-1216PGWP13
BJ124-1216PGWP13
BJ197-1218PGWP12
BJ122-1216PGWP13
BJ454-1216PGWP4
BJ1133-1216PGWP14
MAZ5038A-1824PGWP18
JJ780A-1620PGWP11
MA1126-1824PGWP18
DD1596-1216PGWP14
DS931-1212PGWP16
JP5368-918JPGWP5
ANT126-1216PGWP14
RAD1281-824PGWP10
RAD1296-824PGWP10
LS1622-824PGWP10
LS1648-824PGWP10
BOY384-1216PGWP13
MMD144-1218PGWP12
BJ196-1218PGWP22
CIN816-810PGWP23
KT3062A-810PGWP23
JP2762-88PGWP23
JP5393-1218JPGWP22
ED366-1216PGWP14
DS1487-1216PGWP14
DS1479A-1216PGWP15
DS1496-918PGWP6
DS1519A-1216PGWP15
MAG-BJ1076C
MAG-LS1648A
MA2360WD-1216PA
CIN215WD-1236PPA
BLK-BJ1076C
BLK-LS1648A
BJ1022-1216PA5P13
BJ1128-1216PA4P14
BJ219-1216PA1P14
JP4758-1216JPB5P15
JR7C-1216PA1P14
MA1072B-1216PA1P15
RLV366-1216PA2P14
JR270-1216PP13
LS1313-918PP6
BR209-1114PP5
BR210-1114PP5
MARY435-1630PP7
ED173A-1216PP14
JR7C-1216PP14
BJ175-1218PP22
BJ187-1218PP21
BJ405-1218PP22
KB145B-918PP6
MA681-1218PP21
BJ145B-1218PP4
LD415-1216PP3
LS1243A-810PP23
MA972-1236PP9
JP4235-1218JPP12
MA1121-1216PP13
BJ153-1218PP2
