Sun,SKU# LG039,New for 2018!,"34"" x 34"" This is the utlimate in solar power! Very dramtic on the diagonal. Created by Exulien Exuma.",,,,,,,,$141.00/ea,,,,,,Beyond400,Beyond160,https://d1hfjit43knzun.cloudfront.net/BeyondBorders/userFiles/image/7cfc9756c2c2b9e9f95e71eb3bc60d93f620a0b7.jpeg,7cfc9756c2c2b9e9f95e71eb3bc60d93f620a0b7.jpeg,,,Beyond800,7cfc9756c2c2b9e9f95e71eb3bc60d93f620a0b7.jpeg
Heart,SKU# SM080,New for 2018!,"12"" x 10"" Why didn't we think of this sooner … a medium heart shape with vines and birds … perfect! Crafted by Vinel Remilus.",,,,,,,,$21.00/ea,,,,,,Beyond400,Beyond160,https://d1hfjit43knzun.cloudfront.net/BeyondBorders/userFiles/image/75ac73aca35e85ed62f097e33b7d56a18f6ba69d.jpeg,75ac73aca35e85ed62f097e33b7d56a18f6ba69d.jpeg,,,Beyond800,75ac73aca35e85ed62f097e33b7d56a18f6ba69d.jpeg
Tree,SKU# RND082,New for 2018!,"23"" x 23"" This is a wonderfully crafted rendition of the classic tree of life with six joyous birds. Crafted by Edward Dieudonne.",,,,,,,,$41.00/ea,,,,,,Beyond400,Beyond160,https://d1hfjit43knzun.cloudfront.net/BeyondBorders/userFiles/image/1778749145b7d4e464dfc303a6db7fa9c3b0a7f6.jpeg,1778749145b7d4e464dfc303a6db7fa9c3b0a7f6.jpeg,,,Beyond800,1778749145b7d4e464dfc303a6db7fa9c3b0a7f6.jpeg
