"""Be Merry"" Dishtowel",IHF-385 ADT-MER,All Seasonal|Dishtowels||||||||,"Part of the Dasher collection, featuring red & green tones.
This dishtowel measures 20in. x 28in.
Depicts the words ""Be Merry""",,,,1,,6,4.25,,0.00,,0.00,6,IHF-385_ADT-MER_1a103b41-2b71-4594-a536-24e8bab4f6f9_1024x1024.jpg,
"""Good News Bad News"" Dishtowel",IHF-400 ST-HAF,Christmas & Winter|Dishtowels||||||||,"White dishtowel embroidered with a festive saying in Christmas colors.
This dishtowel measures 20in. x 28in.
Depicts the words ""Good news, the holidays are about family, bad news it has to be your own family""",,,,1,,6,3.50,,0.00,,0.00,6,IHF-400_ST-HAF_d0da3633-51d5-45ad-90a6-77cfbd1e8313_1024x1024.jpg,
"""If You Wash I'll Dry"" Dishtowel",IHF-400 ST-DRY,Dishtowels|||||||||,"Burgundy dishtowel with a fun saying.
This dishtowel measures 20in. x 28in.
Depicts the words ""If you wash, I'll dry!""",,,,1,,6,3.50,,0.00,,0.00,6,IHF-400_ST-DRY_e37e7896-f3a7-46fd-897e-31fed8d382c0_1024x1024.jpg,
"""Let's Go Everywhere!"" Dishtowel",IHF-366 ADT-LG,Dishtowels|||||||||,"Part of the French Postcard collection, featuring blue & cream tones.
This dishtowel measures 20in. x 28in.
Features a bicycle design and the words ""Let's go everywhere!""",,,,1,,6,4.50,,0.00,,0.00,6,IHF-366_ADT-LG_cda1aed9-23c1-4b5b-8901-f846c34e6a59_1024x1024.jpg,
"""Lighten Up! It's Christmas!"" Dishtowel",IHF-400 ST-LIC,All Seasonal|Dishtowels||||||||,"White dishtowel embroidered with a festive saying in Christmas colors.
This dishtowel measures 20in. x 28in.
Depicts the words ""Lighten up! It's Christmas!""",,,,1,,6,3.50,,0.00,,0.00,6,IHF-400_ST_LIC_efb20da7-1ba6-4ab7-8f21-efb0e1411375_1024x1024.jpg,
"""Live Love Laugh Family"" Dishtowel",IHF-400 ST-LLL,Dishtowels|||||||||,"Black dishtowel embroidered in white with a fun saying.
This dishtowel measures 20in. x 28in.
Depicts the words ""Family (noun.) The ones you live with, laugh with, and love""",,,,1,,6,3.50,,0.00,,0.00,6,IHF-400_ST-LLL_1024x1024.jpg,
"""Lost In The Stars"" Camper Rectangle Rug",IHF-521 RGS,Rugs|||||||||,"Part of the Lost In The Stars collection, featuring tan tones.
This rug measures 24in. x 36in.
Depicts a retro camper and the words ""Lost In The Stars""
Available 2017",,,,1,,2,18.00,,0.00,,0.00,2,IHF-521_RGS_1024x1024.jpg,
"""Naughty Or Nice?"" Dishtowel",IHF-400 ST-NON,Dishtowels|||||||||,"White dishtowel embroidered with a festive saying in Christmas colors.
This dishtowel measures 20in. x 28in.
Depicts the words ""Naughty or nice? Stop judging me!""",,,,1,,6,3.50,,0.00,,0.00,6,IHF-400_ST_NON_0e8da5f3-5e98-48d1-a6f3-67dcee6feeef_1024x1024.jpg,
"""Three Meals A Day"" Dishtowel",IHF-400 ST-SER,Dishtowels|||||||||,"Burgundy dishtowel with a fun saying.
This dishtowel measures 20in. x 28in.
Depicts the words ""I serve 3 meals a day: 1.) Frozen 2.) Take out 3.) Microwave""",,,,1,,6,3.50,,0.00,,0.00,6,IHF-400_ST-SER_b6967e17-75a5-4f6a-8fef-765d7ee478f0_1024x1024.jpg,
"""Welcome To The Nut House"" Dishtowel",IHF-400 ST-NH,Dishtowels|||||||||,"Tan dishtowel with accent stripes and a fun saying.
This dishtowel measures 20in. x 28in.
Depicts the words ""Welcome to the nut house""",,,,1,,6,3.50,,0.00,,0.00,6,IHF-400-ST-NH_76abc854-73f3-4260-a523-54b4a74fc0e2_1024x1024.jpg,
