Moonstone Artesian Soy Candle,AC06,,"Artesian Premium Soy Candle, 8 ounces with up to 40 hours of burn time.
Sunstone soy candle fragrance consists of bergamot and red berries layered in sweet vanilla, patchouli, caramel, tonka bean and chocolate.
4""W x 3""H",,,,,,,,,,,,,,ACG400,ACG160,https://www.acheerfulgiver.com/media/catalog/product/cache/1/image/600x600/9df78eab33525d08d6e5fb8d27136e95/a/c/ac06-moonstone.jpg,ac06-moonstone.jpg,,,ACG800,ac06-moonstone.jpg
Marble ,AC07,(All) ACG View|Seasonal & Other Candles,"Warm linen fragrance of orange
blossom, jasmine, cyclamen, herbal
tea and smooth cedarwood.","Minimum order will be 3 of each of the 8 styles, 24 candles, or 2 cases
Available Scents: Jade, Marble, Sunstone, Moonstone, Jasper, Onyx, Quartz, Amythest",,,,  8 oz. $9.00 - up to 40 hr. burn time ,,24,9.00,,,,,24,ACG400,ACG160,marble.jpg,marble.jpg,Artesian Premium Soy Candles,,ACG800,marble.jpg
Marble Artesian Soy Candle,AC07,,"Artesian Premium Soy Candle, 8 ounces with up to 40 hours of burn time.
Marble soy candle fragrance consists of warm linen fragrance of orange blossom, jasmine, cyclamen, herbal tea and smooth cedarwood.
4""W x 3""H",,,,,,,,,,,,,,ACG400,ACG160,https://www.acheerfulgiver.com/media/catalog/product/cache/1/image/600x600/9df78eab33525d08d6e5fb8d27136e95/a/c/ac07-marble.jpg,ac07-marble.jpg,,,ACG800,ac07-marble.jpg
 Quartz ,AC08,(All) ACG View|Seasonal & Other Candles,"Soft and calming notes of frankincense
 and myrrh dominate this peacefully
 tranquil fragrance.
","Minimum order will be 3 of each of the 8 styles, 24 candles, or 2 cases
Available Scents: Jade, Marble, Sunstone, Moonstone, Jasper, Onyx, Quartz, Amythest",,,,  8 oz. $9.00 - up to 40 hr. burn time ,,24,9.00,,,,,24,ACG400,ACG160,quartz.jpg,quartz.jpg,Artesian Premium Soy Candles,,ACG800,quartz.jpg
Quartz Artesian Soy Candle,AC08,,"Artesian Premium Soy Candle, 8 ounces with up to 40 hours of burn time.
Quartz soy candle fragrance consists of soft and calming notes of frankincense and myrrh dominate this peacefully tranquil fragrance.
4""W x 3""H",,,,,,,,,,,,,,ACG400,ACG160,https://www.acheerfulgiver.com/media/catalog/product/cache/1/image/600x600/9df78eab33525d08d6e5fb8d27136e95/a/c/ac08-quartz.jpg,ac08-quartz.jpg,,,ACG800,ac08-quartz.jpg
AIR FRESHENER-JUICY APPLE,AFRESH08,"(All) ACG View|Air Fresheners, Diffusers, Potpourri Etc..","Enjoy your favorite Keepers of the Light Fragance in your car! Each Car Air Freshener is packed with the wholesome fragrances you know and love. Juicy Apple fragrance consists of bright cherry apples, cinnamon & clove. This is our tried and true #1 seller!",,,,,,,16,1.25,,,,,16,ACG400,ACG160,juicy-apple-carair.jpg,juicy-apple-carair.jpg,,,ACG800,juicy-apple-carair.jpg
Juicy Apple Car Air Freshener,AFRESH08,,"Enjoy your favorite Keepers of the Light Fragance in your car! Each Car Air Freshener is packed with the wholesome fragrances you know and love. Juicy Apple fragrance consists of bright cherry apples, cinnamon & clove. This is our tried and true #1 seller!",,,,,,,,,,,,,,ACG400,ACG160,https://www.acheerfulgiver.com/media/catalog/product/cache/1/image/600x600/9df78eab33525d08d6e5fb8d27136e95/j/u/juicy-apple-carair.jpg,juicy-apple-carair.jpg,,,ACG800,juicy-apple-carair.jpg
AIR FRESHENER-CRISP COTTON,AFRESH109,"(All) ACG View|Air Fresheners, Diffusers, Potpourri Etc..",Crisp Cotton fragrance consists of a delightfully fresh clean aroma. Enjoy your favorite Keepers of the Light Fragance in your car! Each Car Air Freshener is packed with the wholesome fragrances you know and love.,Sold out,,,,,,16,1.25,,,,,16,ACG400,ACG160,crisp-cotton_3.jpg,crisp-cotton_3.jpg,,,ACG800,crisp-cotton_3.jpg
Crisp Cotton Car Air Fresheners,AFRESH109,,Crisp Cotton fragrance consists of a delightfully fresh clean aroma. Enjoy your favorite Keepers of the Light Fragance in your car! Each Car Air Freshener is packed with the wholesome fragrances you know and love.,,,,,,,,,,,,,,ACG400,ACG160,https://www.acheerfulgiver.com/media/catalog/product/cache/1/image/600x600/9df78eab33525d08d6e5fb8d27136e95/c/r/crisp-cotton_3.jpg,crisp-cotton_3.jpg,,,ACG800,crisp-cotton_3.jpg
AIR FRESHENER-CINNAMON TWIST,AFRESH13,"(All) ACG View|Air Fresheners, Diffusers, Potpourri Etc..",Cinnamon Twist fragrance consists of warm rich spicy aroma of fresh cinnamon sticks. Enjoy your favorite Keepers of the Light Fragance in your car! Each Car Air Freshener is packed with the wholesome fragrances you know and love.,Sold out,,,,,,16,1.25,,,,,16,ACG400,ACG160,cinnamon-twist-carair.jpg,cinnamon-twist-carair.jpg,,,ACG800,cinnamon-twist-carair.jpg
