Baked on the Beach Cheerful Candle 16oz.,CS160,,"Stroll along sugar sand shores with notes of jasmine, coconut, and white musk.
Our NEW True to Life Fragrances will fill the air and warm your heart all at the same time!
(16oz. 80 hr. burn time)",STOCK,,,https://www.acheerfulgiver.com/baked-on-the-beach-cheerful-candle-16oz.html,,,1,99,,,,,1,ACG400,ACG160,https://www.acheerfulgiver.com/pub/media/catalog/product/cache/536dd5c33a1ef21ac58e513d61416e9b/b/a/baked_on_the_beach_scented_candle_cs160.jpg,baked_on_the_beach_scented_candle_cs160.jpg,,,ACG800,baked_on_the_beach_scented_candle_cs160.jpg,
Blushing Bouquet Cheerful Candle 16oz.,CS161,,"Fresh cut peonies dipped in sugar cane, finished with rosewater and white amber.
Our NEW True to Life Fragrances will fill the air and warm your heart all at the same time!
(16oz. 80 hr. burn time)",STOCK,,,https://www.acheerfulgiver.com/blushing-bouquet-cheerful-candle-16oz.html,,,1,99,,,,,1,ACG400,ACG160,https://www.acheerfulgiver.com/pub/media/catalog/product/cache/536dd5c33a1ef21ac58e513d61416e9b/b/l/blushing_bouquet_scented_candle_cs161.jpg,blushing_bouquet_scented_candle_cs161.jpg,,,ACG800,blushing_bouquet_scented_candle_cs161.jpg,
Coral Reef Cheerful Candle 16oz.,CS163,,"Escape and discover exotic orchids, fresh grapefruit, and soft driftwood in an underwater paradise.
Our NEW True to Life Fragrances will fill the air and warm your heart all at the same time!
(16oz. 80 hr. burn time)",STOCK,,,https://www.acheerfulgiver.com/coral-reef-cheerful-candle-16oz.html,,,1,99,,,,,1,ACG400,ACG160,https://www.acheerfulgiver.com/pub/media/catalog/product/cache/536dd5c33a1ef21ac58e513d61416e9b/c/o/coral_reef_scented_candle_cs163.jpg,coral_reef_scented_candle_cs163.jpg,,,ACG800,coral_reef_scented_candle_cs163.jpg,
Coral Reef Cheerful Candle 6 oz.,CB163,,"Escape and discover exotic orchids, fresh grapefruit, and soft driftwood in an underwater paradise. 6-ounce candle burns for approximately 30 hours.
Our NEW True to Life Fragrances will fill the air and warm your heart all at the same time!",In stock,,,https://www.acheerfulgiver.com/coral-reef-cheerful-candle-6-oz.html,,,1,99,,,,,1,ACG400,ACG160,https://www.acheerfulgiver.com/pub/media/catalog/product/cache/536dd5c33a1ef21ac58e513d61416e9b/c/o/coral_reef_scented_candle_cb163.jpg,coral_reef_scented_candle_cb163.jpg,,,ACG800,coral_reef_scented_candle_cb163.jpg,
Baked on the Beach Cheerful Candle 6 oz.,CB160,,"Stroll along sugar sand shores with notes of jasmine, coconut, and white musk. 6-ounce candle burns for approximately 30 hours.
Our NEW True to Life Fragrances will fill the air and warm your heart all at the same time!",In stock,,,https://www.acheerfulgiver.com/baked-beach-cheerful-candle-6-oz.html,,,1,99,,,,,1,ACG400,ACG160,https://www.acheerfulgiver.com/pub/media/catalog/product/cache/536dd5c33a1ef21ac58e513d61416e9b/b/a/baked_on_the_beach_scented_candle_cb160.jpg,baked_on_the_beach_scented_candle_cb160.jpg,,,ACG800,baked_on_the_beach_scented_candle_cb160.jpg,
Caramel Cream Puff Cheerful Candle 24oz.,CC162,,"Hand-whipped cream turned with brown sugar, stuffed into a flaky pastry and drizzled in caramel.
24-ounce candle burns for approximately 135 hours.
Two wicks for a complete and even wax pool.
Our NEW True to Life Fragrances will fill the air and warm your heart all at the same time!",STOCK,,,https://www.acheerfulgiver.com/caramel-cream-puff-cheerful-candle-24oz.html,,,1,99,,,,,1,ACG400,ACG160,https://www.acheerfulgiver.com/pub/media/catalog/product/cache/7fcce415858b11bd1b5526a7606e79f5/c/a/caramel_cream_puff_scented_candle_cc162.jpg,caramel_cream_puff_scented_candle_cc162.jpg,,,ACG800,caramel_cream_puff_scented_candle_cc162.jpg,
Icing on the Cake Cheerful Candle 6 oz.,CB165,,"Frosted buttercream icing blended with marshmallow fluff, vanilla bean, and toffee. 6-ounce candle burns for approximately 30 hours.
Our NEW True to Life Fragrances will fill the air and warm your heart all at the same time!",In stock,,,https://www.acheerfulgiver.com/icing-on-the-cake-cheerful-candle-6-oz.html,,,1,99,,,,,1,ACG400,ACG160,https://www.acheerfulgiver.com/pub/media/catalog/product/cache/7fcce415858b11bd1b5526a7606e79f5/i/c/icing_on_the_cake_scented_candle_cb165.jpg,icing_on_the_cake_scented_candle_cb165.jpg,,,ACG800,icing_on_the_cake_scented_candle_cb165.jpg,
Green Tea Cheerful Candle 6 oz.,CB164,,"Crushed green tea steeped with lemon, coconut shavings, mint, and rose petals. 6-ounce candle burns for approximately 30 hours.
Our NEW True to Life Fragrances will fill the air and warm your heart all at the same time!",In stock,,,https://www.acheerfulgiver.com/green-tea-cheerful-candle-6-oz.html,,,1,99,,,,,1,ACG400,ACG160,https://www.acheerfulgiver.com/pub/media/catalog/product/cache/7fcce415858b11bd1b5526a7606e79f5/g/r/green_tea_scented_candle_cb164.jpg,green_tea_scented_candle_cb164.jpg,,,ACG800,green_tea_scented_candle_cb164.jpg,
Caramel Cream Puff Cheerful Candle 6 oz.,CB162,,"Hand-whipped cream turned with brown sugar, stuffed into a flaky pastry and drizzled in caramel. 6-ounce candle burns for approximately 30 hours.
Our NEW True to Life Fragrances will fill the air and warm your heart all at the same time!",In stock,,,https://www.acheerfulgiver.com/caramel-cream-puff-cheerful-candle-6-oz.html,,,1,99,,,,,1,ACG400,ACG160,https://www.acheerfulgiver.com/pub/media/catalog/product/cache/536dd5c33a1ef21ac58e513d61416e9b/c/a/caramel_cream_puff_scented_candle_cb162.jpg,caramel_cream_puff_scented_candle_cb162.jpg,,,ACG800,caramel_cream_puff_scented_candle_cb162.jpg,
Blushing Bouquet Cheerful Candle 6 oz.,CB161,,"Fresh cut peonies dipped in sugar cane, finished with rosewater and white amber. 6-ounce candle burns for approximately 30 hours.
Our NEW True to Life Fragrances will fill the air and warm your heart all at the same time!",In stock,,,https://www.acheerfulgiver.com/blushing-bouquet-cheerful-candle-6-oz.html,,,1,99,,,,,1,ACG400,ACG160,https://www.acheerfulgiver.com/pub/media/catalog/product/cache/7fcce415858b11bd1b5526a7606e79f5/b/l/blushing_bouquet_scented_candle_cb161.jpg,blushing_bouquet_scented_candle_cb161.jpg,,,ACG800,blushing_bouquet_scented_candle_cb161.jpg,
