RUSTY REFUGE I—PHEASANTS ART COLLECTION,F701447089,,"“A trio of ring-necked pheasants find shelter in the lee of an old potato digger.”

Pinnacle open edition art print excerpted from previous Redlin print release. Image size, 20-1/4"" x 11-1/2"". Choose from 4 framing options.",,,,,,,1,99,,,,,1,wildwings400,wildwings160,https://cdn.shopify.com/s/files/1/0165/1821/7782/products/rusty-refuge-1-pheasants-by-terry-redlin-f701447089d_2000x.jpg?v=1623820200,rusty-refuge-1-pheasants-by-terry-redlin-f701447089d_2000x.jpg?v=1623820200,,,wildwings800,rusty-refuge-1-pheasants-by-terry-redlin-f701447089d_2000x.jpg?v=1623820200
REFLECTIONS—GREEN—WINGED TEAL ART COLLECTION,F701445089,,"“Set against the mood of a late afternoon sun, three green-winged teal twist and slip silently past two familiar landmarks; an old neglected fishing boat and a dock, witness to many a big catch, but now badly in need of repairs. These vestiges of man’s presence give pause to reflect back on other times and places.”

Encore II open edition art print made from the original oil painting. Image size, 10-1/2"" x 18"". Choose from 6 framing options.",,,,,,,1,99,,,,,1,wildwings400,wildwings160,https://cdn.shopify.com/s/files/1/0165/1821/7782/products/reflections-green-winged-teal-by-terry-redlin-F701445089d_2000x.jpg?v=1623820198,reflections-green-winged-teal-by-terry-redlin-F701445089d_2000x.jpg?v=1623820198,,,wildwings800,reflections-green-winged-teal-by-terry-redlin-F701445089d_2000x.jpg?v=1623820198
TIGER OF THE NIGHT—OWL ART COLLECTION,F780856030,,"Limited edition of 450 signed and numbered prints. Image size, 16"" x 24"". A Wild Wings exclusive.",,,,,,,1,99,,,,,1,wildwings400,wildwings160,https://cdn.shopify.com/s/files/1/0165/1821/7782/products/great-horned-owl-framed-art-print-by-michael-sieve-F780856030d_2000x.jpg?v=1623819047,great-horned-owl-framed-art-print-by-michael-sieve-F780856030d_2000x.jpg?v=1623819047,,,wildwings800,great-horned-owl-framed-art-print-by-michael-sieve-F780856030d_2000x.jpg?v=1623819047
APRIL'S PROMISE—TURKEY ART COLLECTION,F780036020,,"“Springtime is turkey hunting time and lately it is shed hunting time also. It seems as if everyone wants to find them, even the chipmunks.”

Limited edition of 750 signed and numbered art prints made from the original oil painting. Image size, 20"" x 16"". Framed size 32"" x 28"" with 3"" rustic matte-finished moulding. Double matting with chestnut outer mat. Published exclusively by Wild Wings.",,,,,,,1,99,,,,,1,wildwings400,wildwings160,https://cdn.shopify.com/s/files/1/0165/1821/7782/products/F780036020_2000x.jpg?v=1623819033,F780036020_2000x.jpg?v=1623819033,,,wildwings800,F780036020_2000x.jpg?v=1623819033
NEIGHBORS—WHITETAIL DEER AND LOONS ART COLLECTION,EPR4234910,,"Open edition from the Great Northern Art Premium Framed Prints Collection. Image size, 17"" x 23"". Available in two framed options. A Wild Wings exclusive.",,,,,,,1,99,,,,,1,wildwings400,wildwings160,https://cdn.shopify.com/s/files/1/0165/1821/7782/products/whitetail-deer-and-loons-framed-art-print-by-jim-kasper-EPR4234910d_9ea3408a-4a11-4bec-9851-e97f3a83fd76_2000x.jpg?v=1623818794,whitetail-deer-and-loons-framed-art-print-by-jim-kasper-EPR4234910d_9ea3408a-4a11-4bec-9851-e97f3a83fd76_2000x.jpg?v=1623818794,,,wildwings800,whitetail-deer-and-loons-framed-art-print-by-jim-kasper-EPR4234910d_9ea3408a-4a11-4bec-9851-e97f3a83fd76_2000x.jpg?v=1623818794
PASTORAL—COWS GALLERY WRAPPED CANVAS,F838503580CGW,,"Our new and improved Gallery Wrapped Canvases are printed with more vibrant inks on a premium canvas substrate. The canvas is wrapped around thicker, 1-1/2"" stretcher bar and finished with a splined back for an elegant look and feel.

Showcasing our art in a beautiful full-wrap frameless presentation, each premier cotton canvas piece is printed with UV cured inks and hand stretched over a deep 1-1/2"" kiln dried wood stretcher bar. Ready to hang individually or as an ensemble, there's no wonder why this versatile art format is a customer favorite. 19"" x 24""",,,,,,,1,99,,,,,1,wildwings400,wildwings160,https://cdn.shopify.com/s/files/1/0165/1821/7782/products/pastoral-cows-gallery-wrapped-canvas-lee-stroncek-F838503580CGW_775d600b-7bb1-48c9-9d66-671d451c85b1_2000x.jpg?v=1623818569,pastoral-cows-gallery-wrapped-canvas-lee-stroncek-F838503580CGW_775d600b-7bb1-48c9-9d66-671d451c85b1_2000x.jpg?v=1623818569,,,wildwings800,pastoral-cows-gallery-wrapped-canvas-lee-stroncek-F838503580CGW_775d600b-7bb1-48c9-9d66-671d451c85b1_2000x.jpg?v=1623818569
SUNDAY MORNING ART COLLECTION,F701535389,,"On this serene morning, all of God's creatures are congregating. The humans have arrived in cars and buggies. The deer slowly stir. The cows amble contentedly toward their morning drink. Suddenly, the calf becomes aware of strangers across the stream. In response, the young doe rises, ears alert, and intently watches the intruders approach. After a few moments of mutual inspection, both cows and deer will continue on with their business. High above the steeple, the circling pigeons have been scattered by ringing bells.

Open edition art print made from the original oil painting. Part of the Elite Prints Collection featuring smaller versions of earlier Redlin limited edition print releases. Image size, 14"" x 24"". Choose from 5 framing options.
Also available; open edition oval framed print from the Master Stroke Collection. Framed size, 15"" x 19"".
Mini companion prints also available; available in two framing options. Image sizes, 8"" x 8"". Companion prints are available individually or as a set of four.",,,,,,,1,99,,,,,1,wildwings400,wildwings160,https://cdn.shopify.com/s/files/1/0165/1821/7782/products/sunday-morning-framed-art-print-by-terry-redlin-F701535389d_2000x.jpg?v=1623820170,sunday-morning-framed-art-print-by-terry-redlin-F701535389d_2000x.jpg?v=1623820170,,,wildwings800,sunday-morning-framed-art-print-by-terry-redlin-F701535389d_2000x.jpg?v=1623820170
"GOOD MORNING, AMERICA FRAMED ENCORE PRINT",F701285689C,,"Framed Encore open edition of art prints by Terry Redlin. Excerpted from previous Redlin editions. Published exclusively by Wild Wings. 18-1/2""H x 26""W",,,,,,,1,99,,,,,1,wildwings400,wildwings160,https://cdn.shopify.com/s/files/1/0165/1821/7782/products/good-morning-america-encore-framed-print-terry-redlin-F701285689C_ecd2d0ce-bf78-4bf8-af4f-be0ef0c6de92_2000x.jpg?v=1623819453,good-morning-america-encore-framed-print-terry-redlin-F701285689C_ecd2d0ce-bf78-4bf8-af4f-be0ef0c6de92_2000x.jpg?v=1623819453,,,wildwings800,good-morning-america-encore-framed-print-terry-redlin-F701285689C_ecd2d0ce-bf78-4bf8-af4f-be0ef0c6de92_2000x.jpg?v=1623819453
MORNING GLOW—CAMPING ART COLLECTION,F701352089,,"“The rising sun has just topped the distant tree line revealing a camper’s tent and canoe. A whitetail buck and doe appear from the forest depth and cautiously approach the water’s edge. The beginning of a new day has been signaled, and the tranquil mood suggests that in this corner of our world, man and nature live in harmony.”

Open edition art print made from the original oil painting. Part of the Horizons Collection of horizontal, open edition prints, excerpted from previous Redlin releases. Image size, 8-1/2"" x 27"". Choose from 5 framing options. Also available, open edition miniature art print on linen. Image size, 7-3/4"" x 13-3/4"". Choose from 2 framing options.",,,,,,,1,99,,,,,1,wildwings400,wildwings160,https://cdn.shopify.com/s/files/1/0165/1821/7782/products/morning-glow-camping-framed-horizon-print-terry-redlin-F701352089_2000x.jpg?v=1623820174,morning-glow-camping-framed-horizon-print-terry-redlin-F701352089_2000x.jpg?v=1623820174,,,wildwings800,morning-glow-camping-framed-horizon-print-terry-redlin-F701352089_2000x.jpg?v=1623820174
RED-BACKED SHRIKE ANNIVERSARY ART COLLECTION,1058660049,,"Open edition of art prints featuring a group of red-backed shrikes. Choose framed or unframed. Published exclusively by Wild Wings. Print size is 11""W x 14""H. Framed size is 13""W x 16""H.",,,,,,,1,99,,,,,1,wildwings400,wildwings160,https://cdn.shopify.com/s/files/1/0165/1821/7782/products/red-backed-shrike-anniversary-art-collection-1058660049IG_2000x.jpg?v=1623383171,red-backed-shrike-anniversary-art-collection-1058660049IG_2000x.jpg?v=1623383171,,,wildwings800,red-backed-shrike-anniversary-art-collection-1058660049IG_2000x.jpg?v=1623383171
