"[u'One of a Kind Necklaces with Vintage Pendants', u""From the 1930's - 1970's"", u'  Our signature pieces sell quickly! Because of the constant rotation of pieces, these are currently available through phone, faxed or in person orders only. We are happy to send you pictures of current stock or come see you on the road. ']","https://static.wixstatic.com/media/b0faac_e49b7046c7aa4aa082c037d5147961d9.jpg/v1/fill/w_532,h_496,al_c,q_90,usm_0.66_1.00_0.01/b0faac_e49b7046c7aa4aa082c037d5147961d9.jpg"
"[u' Vintage Pendants', u'Antiqued Silver', u'$18.00 - $32.00', u'click pic to expand']","https://static.wixstatic.com/media/b0faac_e94954075b674b38bebb8629745bff77.jpg/v1/fill/w_399,h_300,al_c,q_90/b0faac_e94954075b674b38bebb8629745bff77.jpg"
"[u' Vintage Pendants', u'Antiqued Silver Chain', u'$12.00', u'click pic to expand']","https://static.wixstatic.com/media/b0faac_1ae46bfcf06744b88a532f182f4a71f4.jpg/v1/fill/w_304,h_496,al_c,q_90,usm_0.66_1.00_0.01/b0faac_1ae46bfcf06744b88a532f182f4a71f4.jpg"
"[u' Vintage Chandelier Drops', u'With Images ', u'$18.00 - $28.00', u'click pic to expand']","https://static.wixstatic.com/media/b0faac_c3d7e26c87654c96aa5231f1288209dc.jpg/v1/fill/w_532,h_496,al_c,q_90,usm_0.66_1.00_0.01/b0faac_c3d7e26c87654c96aa5231f1288209dc.jpg"
"[u'Vintage Pendants', u'Antiqued Silver', u'$18.00 - $32.00', u'click pic to expand']","https://static.wixstatic.com/media/b0faac_0468579409c241e6a27577d1570570ae.jpg/v1/fill/w_496,h_496,al_c,q_90,usm_0.66_1.00_0.01/b0faac_0468579409c241e6a27577d1570570ae.jpg"
"[u' Sample Necklace', u""1950's Coral Pendant with Gold Glass Beads $22.00"", u'Suggested Retail $46.00']","https://static.wixstatic.com/media/b0faac_3fe47ca4b1ce43c9808cb6d24847be21.jpg/v1/fill/w_496,h_496,al_c,q_90,usm_0.66_1.00_0.01/b0faac_3fe47ca4b1ce43c9808cb6d24847be21.jpg"
"[u' Sample Necklace', u""1930's Deco Pendant with Purple Glass Pearls $21.00"", u'Suggested Retail $44.00']","https://static.wixstatic.com/media/b0faac_0a3948374a1f4c5fb45f5e75e0b47a84.jpg/v1/fill/w_446,h_458,al_c,q_90,usm_0.66_1.00_0.01/b0faac_0a3948374a1f4c5fb45f5e75e0b47a84.jpg"
"Guadalupe Chain Necklace
$11.00","['Wholesale Website', 'Poem Card Necklaces\nSilver plated chain necklaces on matching poem card.\nSuggested Retail $24.00']","https://static.wixstatic.com/media/b0faac_5d3e542281834fa99a4d18cd3ecc90ee.jpg/v1/fill/w_148,h_177,al_c,q_80,usm_0.66_1.00_0.01/b0faac_5d3e542281834fa99a4d18cd3ecc90ee.jpg"
"Mermaid Chain Necklace
$11.00","['Wholesale Website', 'Poem Card Necklaces\nSilver plated chain necklaces on matching poem card.\nSuggested Retail $24.00']","https://static.wixstatic.com/media/b0faac_b243977896b94985913da3d32b619986.jpg/v1/fill/w_148,h_177,al_c,q_80,usm_0.66_1.00_0.01/b0faac_b243977896b94985913da3d32b619986.jpg"
"Peacock Chain Necklace
$11.00","['Wholesale Website', 'Poem Card Necklaces\nSilver plated chain necklaces on matching poem card.\nSuggested Retail $24.00']","https://static.wixstatic.com/media/b0faac_eb0e3d57537844a192c4657afaee5697.jpg/v1/fill/w_148,h_177,al_c,q_80,usm_0.66_1.00_0.01/b0faac_eb0e3d57537844a192c4657afaee5697.jpg"
"Butterfly Chain Necklace
$11.00","['Wholesale Website', 'Poem Card Necklaces\nSilver plated chain necklaces on matching poem card.\nSuggested Retail $24.00']","https://static.wixstatic.com/media/b0faac_465132b93eee417fb3a4d1d0e65febb4.jpg/v1/fill/w_148,h_177,al_c,q_80,usm_0.66_1.00_0.01/b0faac_465132b93eee417fb3a4d1d0e65febb4.jpg"
"4 Leaf Clover Chain Necklace
$11.00","['Wholesale Website', 'Poem Card Necklaces\nSilver plated chain necklaces on matching poem card.\nSuggested Retail $24.00']","https://static.wixstatic.com/media/b0faac_0329c2e2f28f4b16aaaf72377a285f36.jpg/v1/fill/w_148,h_177,al_c,q_80,usm_0.66_1.00_0.01/b0faac_0329c2e2f28f4b16aaaf72377a285f36.jpg"
"Fairy Chain Necklace
$11.00","['Wholesale Website', 'Poem Card Necklaces\nSilver plated chain necklaces on matching poem card.\nSuggested Retail $24.00']","https://static.wixstatic.com/media/b0faac_0a336040f3fd4a3687d0f9525bb919f8.jpg/v1/fill/w_148,h_177,al_c,q_80,usm_0.66_1.00_0.01/b0faac_0a336040f3fd4a3687d0f9525bb919f8.jpg"
"Ladybug Chain Necklace
$11.00","['Wholesale Website', 'Poem Card Necklaces\nSilver plated chain necklaces on matching poem card.\nSuggested Retail $24.00']","https://static.wixstatic.com/media/b0faac_4caa1893c4fa44b2ac96063c1c2ca64b.jpg/v1/fill/w_148,h_177,al_c,q_80,usm_0.66_1.00_0.01/b0faac_4caa1893c4fa44b2ac96063c1c2ca64b.jpg"
"Mala Necklace Blue Buddha
$32.00","['Wholesale Website', 'Mala Necklaces\nExtra long Hindu and Buddhist prayer bead ""mala"" necklaces have 108 beads.\nPerfect for prayer or to wear as jewelry.  Suggested Retail $68.00']","https://static.wixstatic.com/media/b0faac_c4632a2319e74cc4b0b4594587261805.jpg/v1/fill/w_177,h_212,al_c,q_80,usm_0.66_1.00_0.01/b0faac_c4632a2319e74cc4b0b4594587261805.jpg"
"Mala Necklace Mandala/Om Sign
$32.00","['Wholesale Website', 'Mala Necklaces\nExtra long Hindu and Buddhist prayer bead ""mala"" necklaces have 108 beads.\nPerfect for prayer or to wear as jewelry.  Suggested Retail $68.00']","https://static.wixstatic.com/media/b0faac_39ca10bd7c0a4fedb45d614b2838f9c1.jpg/v1/fill/w_177,h_212,al_c,q_80,usm_0.66_1.00_0.01/b0faac_39ca10bd7c0a4fedb45d614b2838f9c1.jpg"
"Mala Necklace Brown Buddha
$32.00","['Wholesale Website', 'Mala Necklaces\nExtra long Hindu and Buddhist prayer bead ""mala"" necklaces have 108 beads.\nPerfect for prayer or to wear as jewelry.  Suggested Retail $68.00']","https://static.wixstatic.com/media/b0faac_a9685f3c3b9d4374bc7c015a2e24b9cf.jpg/v1/fill/w_177,h_212,al_c,q_80,usm_0.66_1.00_0.01/b0faac_a9685f3c3b9d4374bc7c015a2e24b9cf.jpg"
