"[u'One of a Kind Necklaces with Vintage Pendants', u""From the 1930's - 1970's"", u'  Our signature pieces sell quickly! Because of the constant rotation of pieces, these are currently available through phone, faxed or in person orders only. We are happy to send you pictures of current stock or come see you on the road. ']","https://static.wixstatic.com/media/b0faac_e49b7046c7aa4aa082c037d5147961d9.jpg/v1/fill/w_532,h_496,al_c,q_90,usm_0.66_1.00_0.01/b0faac_e49b7046c7aa4aa082c037d5147961d9.jpg"
"[u' Vintage Pendants', u'Antiqued Silver', u'$18.00 - $32.00', u'click pic to expand']","https://static.wixstatic.com/media/b0faac_e94954075b674b38bebb8629745bff77.jpg/v1/fill/w_399,h_300,al_c,q_90/b0faac_e94954075b674b38bebb8629745bff77.jpg"
"[u' Vintage Pendants', u'Antiqued Silver Chain', u'$12.00', u'click pic to expand']","https://static.wixstatic.com/media/b0faac_1ae46bfcf06744b88a532f182f4a71f4.jpg/v1/fill/w_304,h_496,al_c,q_90,usm_0.66_1.00_0.01/b0faac_1ae46bfcf06744b88a532f182f4a71f4.jpg"
"[u' Vintage Chandelier Drops', u'With Images ', u'$18.00 - $28.00', u'click pic to expand']","https://static.wixstatic.com/media/b0faac_c3d7e26c87654c96aa5231f1288209dc.jpg/v1/fill/w_532,h_496,al_c,q_90,usm_0.66_1.00_0.01/b0faac_c3d7e26c87654c96aa5231f1288209dc.jpg"
"[u'Vintage Pendants', u'Antiqued Silver', u'$18.00 - $32.00', u'click pic to expand']","https://static.wixstatic.com/media/b0faac_0468579409c241e6a27577d1570570ae.jpg/v1/fill/w_496,h_496,al_c,q_90,usm_0.66_1.00_0.01/b0faac_0468579409c241e6a27577d1570570ae.jpg"
"[u' Sample Necklace', u""1950's Coral Pendant with Gold Glass Beads $22.00"", u'Suggested Retail $46.00']","https://static.wixstatic.com/media/b0faac_3fe47ca4b1ce43c9808cb6d24847be21.jpg/v1/fill/w_496,h_496,al_c,q_90,usm_0.66_1.00_0.01/b0faac_3fe47ca4b1ce43c9808cb6d24847be21.jpg"
"[u' Sample Necklace', u""1930's Deco Pendant with Purple Glass Pearls $21.00"", u'Suggested Retail $44.00']","https://static.wixstatic.com/media/b0faac_0a3948374a1f4c5fb45f5e75e0b47a84.jpg/v1/fill/w_446,h_458,al_c,q_90,usm_0.66_1.00_0.01/b0faac_0a3948374a1f4c5fb45f5e75e0b47a84.jpg"
"Golden Emerald Ring
$9.00","['Wholesale Website', 'Glass Stone and Whimsical Images - Filigree Medallion Rings\n18mm X 13mm - Antiqued Brass - Adjustable to Sizes 6-8\nSuggested Retail $20.00\n ']","https://static.wixstatic.com/media/b0faac_cf13b7d5465d49b4b16ea0e0795bc8c6.jpg/v1/fill/w_133,h_133,al_c,q_80,usm_0.66_1.00_0.01/b0faac_cf13b7d5465d49b4b16ea0e0795bc8c6.jpg"
"Golden Powder Blue Ring
$9.00","['Wholesale Website', 'Glass Stone and Whimsical Images - Filigree Medallion Rings\n18mm X 13mm - Antiqued Brass - Adjustable to Sizes 6-8\nSuggested Retail $20.00\n ']","https://static.wixstatic.com/media/b0faac_05ee372fde204b629f78d77a8c7f7a5c.jpg/v1/fill/w_133,h_133,al_c,q_80,usm_0.66_1.00_0.01/b0faac_05ee372fde204b629f78d77a8c7f7a5c.jpg"
"Golden Royal Blue Ring
$9.00","['Wholesale Website', 'Glass Stone and Whimsical Images - Filigree Medallion Rings\n18mm X 13mm - Antiqued Brass - Adjustable to Sizes 6-8\nSuggested Retail $20.00\n ']","https://static.wixstatic.com/media/b0faac_35153a69ae044457b751a19b660bbf08.jpg/v1/fill/w_133,h_133,al_c,q_80,usm_0.66_1.00_0.01/b0faac_35153a69ae044457b751a19b660bbf08.jpg"
"Golden Iris Ring
$9.00","['Wholesale Website', 'Glass Stone and Whimsical Images - Filigree Medallion Rings\n18mm X 13mm - Antiqued Brass - Adjustable to Sizes 6-8\nSuggested Retail $20.00\n ']","https://static.wixstatic.com/media/b0faac_6c8cf0493da244a89cf4c4da194facc2.jpg/v1/fill/w_133,h_133,al_c,q_80,usm_0.66_1.00_0.01/b0faac_6c8cf0493da244a89cf4c4da194facc2.jpg"
"Golden Violet Ring
$9.00","['Wholesale Website', 'Glass Stone and Whimsical Images - Filigree Medallion Rings\n18mm X 13mm - Antiqued Brass - Adjustable to Sizes 6-8\nSuggested Retail $20.00\n ']","https://static.wixstatic.com/media/b0faac_9b9a6e3debab4ade8e39a48444b1bb39.jpg/v1/fill/w_133,h_133,al_c,q_80,usm_0.66_1.00_0.01/b0faac_9b9a6e3debab4ade8e39a48444b1bb39.jpg"
"Golden Opal Ring
$9.00","['Wholesale Website', 'Glass Stone and Whimsical Images - Filigree Medallion Rings\n18mm X 13mm - Antiqued Brass - Adjustable to Sizes 6-8\nSuggested Retail $20.00\n ']","https://static.wixstatic.com/media/b0faac_03f633b0737a4cda997f344d53495ea5.jpg/v1/fill/w_133,h_133,al_c,q_80,usm_0.66_1.00_0.01/b0faac_03f633b0737a4cda997f344d53495ea5.jpg"
"Golden Black Ring
$9.00","['Wholesale Website', 'Glass Stone and Whimsical Images - Filigree Medallion Rings\n18mm X 13mm - Antiqued Brass - Adjustable to Sizes 6-8\nSuggested Retail $20.00\n ']","https://static.wixstatic.com/media/b0faac_ed06a5d8b9514f93b6ea3138742a8857.jpg/v1/fill/w_133,h_133,al_c,q_80,usm_0.66_1.00_0.01/b0faac_ed06a5d8b9514f93b6ea3138742a8857.jpg"
"Mermaid Ring
$9.00","['Wholesale Website', 'Glass Stone and Whimsical Images - Filigree Medallion Rings\n18mm X 13mm - Antiqued Brass - Adjustable to Sizes 6-8\nSuggested Retail $20.00\n ']","https://static.wixstatic.com/media/b0faac_b45e830306b24bccbec0fa2c3e1b1676.jpg/v1/fill/w_133,h_133,al_c,q_80,usm_0.66_1.00_0.01/b0faac_b45e830306b24bccbec0fa2c3e1b1676.jpg"
"Butterfly Fairy Ring
$9.00","['Wholesale Website', 'Glass Stone and Whimsical Images - Filigree Medallion Rings\n18mm X 13mm - Antiqued Brass - Adjustable to Sizes 6-8\nSuggested Retail $20.00\n ']","https://static.wixstatic.com/media/b0faac_861e752066ec44b7b1f74c136c25346f.jpg/v1/fill/w_133,h_133,al_c,q_80,usm_0.66_1.00_0.01/b0faac_861e752066ec44b7b1f74c136c25346f.jpg"
"Pink Fairy Ring
$9.00","['Wholesale Website', 'Glass Stone and Whimsical Images - Filigree Medallion Rings\n18mm X 13mm - Antiqued Brass - Adjustable to Sizes 6-8\nSuggested Retail $20.00\n ']","https://static.wixstatic.com/media/b0faac_c61e4be45d02475db7513e885ef43f7f.jpg/v1/fill/w_133,h_133,al_c,q_80,usm_0.66_1.00_0.01/b0faac_c61e4be45d02475db7513e885ef43f7f.jpg"
"Star of David Ring
$9.00","['Wholesale Website', 'Glass Stone and Whimsical Images - Filigree Medallion Rings\n18mm X 13mm - Antiqued Brass - Adjustable to Sizes 6-8\nSuggested Retail $20.00\n ']","https://static.wixstatic.com/media/b0faac_a359f7b680ad447d96ac1d4d75c13186.jpg/v1/fill/w_133,h_133,al_c,q_80,usm_0.66_1.00_0.01/b0faac_a359f7b680ad447d96ac1d4d75c13186.jpg"
"Lady of Guadalupe Ring
$9.00","['Wholesale Website', 'Glass Stone and Whimsical Images - Filigree Medallion Rings\n18mm X 13mm - Antiqued Brass - Adjustable to Sizes 6-8\nSuggested Retail $20.00\n ']","https://static.wixstatic.com/media/b0faac_497b6731433b49f6a89871d22e80c3d8.jpg/v1/fill/w_133,h_133,al_c,q_80,usm_0.66_1.00_0.01/b0faac_497b6731433b49f6a89871d22e80c3d8.jpg"
"Buddha Ring
$9.00","['Wholesale Website', 'Glass Stone and Whimsical Images - Filigree Medallion Rings\n18mm X 13mm - Antiqued Brass - Adjustable to Sizes 6-8\nSuggested Retail $20.00\n ']","https://static.wixstatic.com/media/b0faac_9b2e8df7716249a888af2ff6a0dcb957.jpg/v1/fill/w_133,h_133,al_c,q_80,usm_0.66_1.00_0.01/b0faac_9b2e8df7716249a888af2ff6a0dcb957.jpg"
"Sweet Birdies Ring
$9.00","['Wholesale Website', 'Glass Stone and Whimsical Images - Filigree Medallion Rings\n18mm X 13mm - Antiqued Brass - Adjustable to Sizes 6-8\nSuggested Retail $20.00\n ']","https://static.wixstatic.com/media/b0faac_4c99c1cca3ca4d66974c4a1de620b118.jpg/v1/fill/w_133,h_133,al_c,q_80,usm_0.66_1.00_0.01/b0faac_4c99c1cca3ca4d66974c4a1de620b118.jpg"
"Peacock Ring
$9.00","['Wholesale Website', 'Glass Stone and Whimsical Images - Filigree Medallion Rings\n18mm X 13mm - Antiqued Brass - Adjustable to Sizes 6-8\nSuggested Retail $20.00\n ']","https://static.wixstatic.com/media/b0faac_97012c43255441d090bd3681f463db04.jpg/v1/fill/w_133,h_133,al_c,q_80,usm_0.66_1.00_0.01/b0faac_97012c43255441d090bd3681f463db04.jpg"
"Monarch Butterfly Ring
$9.00","['Wholesale Website', 'Glass Stone and Whimsical Images - Filigree Medallion Rings\n18mm X 13mm - Antiqued Brass - Adjustable to Sizes 6-8\nSuggested Retail $20.00\n ']","https://static.wixstatic.com/media/b0faac_ce89f275a456471e8ff1fa3c8986db2f.jpg/v1/fill/w_133,h_133,al_c,q_80,usm_0.66_1.00_0.01/b0faac_ce89f275a456471e8ff1fa3c8986db2f.jpg"
"4 Leaf Clover Ring
$9.00","['Wholesale Website', 'Glass Stone and Whimsical Images - Filigree Medallion Rings\n18mm X 13mm - Antiqued Brass - Adjustable to Sizes 6-8\nSuggested Retail $20.00\n ']","https://static.wixstatic.com/media/b0faac_54ab535de5054fb1a32215e057145bd7.jpg/v1/fill/w_133,h_133,al_c,q_80,usm_0.66_1.00_0.01/b0faac_54ab535de5054fb1a32215e057145bd7.jpg"
"Lady Bug Ring
$9.00","['Wholesale Website', 'Glass Stone and Whimsical Images - Filigree Medallion Rings\n18mm X 13mm - Antiqued Brass - Adjustable to Sizes 6-8\nSuggested Retail $20.00\n ']","https://static.wixstatic.com/media/b0faac_a86ea754b8714c68a080ae4565e30d51.jpg/v1/fill/w_133,h_133,al_c,q_80,usm_0.66_1.00_0.01/b0faac_a86ea754b8714c68a080ae4565e30d51.jpg"
"Black Cat Ring
$9.00","['Wholesale Website', 'Glass Stone and Whimsical Images - Filigree Medallion Rings\n18mm X 13mm - Antiqued Brass - Adjustable to Sizes 6-8\nSuggested Retail $20.00\n ']","https://static.wixstatic.com/media/b0faac_fb748e9bcce34d338c5c43e25de44f78.jpg/v1/fill/w_133,h_133,al_c,q_80,usm_0.66_1.00_0.01/b0faac_fb748e9bcce34d338c5c43e25de44f78.jpg"
"Blue Bells Flower Ring
$9.00","['Wholesale Website', 'Glass Stone and Whimsical Images - Filigree Medallion Rings\n18mm X 13mm - Antiqued Brass - Adjustable to Sizes 6-8\nSuggested Retail $20.00\n ']","https://static.wixstatic.com/media/b0faac_74c097b62acd4ef6a0b28a101a2c9a41.jpg/v1/fill/w_133,h_133,al_c,q_80,usm_0.66_1.00_0.01/b0faac_74c097b62acd4ef6a0b28a101a2c9a41.jpg"
"Blue & Pink Flowers Rings
$9.00","['Wholesale Website', 'Glass Stone and Whimsical Images - Filigree Medallion Rings\n18mm X 13mm - Antiqued Brass - Adjustable to Sizes 6-8\nSuggested Retail $20.00\n ']","https://static.wixstatic.com/media/b0faac_aaa784f54ed4405287c2401277f6c8d7.jpg/v1/fill/w_133,h_133,al_c,q_80,usm_0.66_1.00_0.01/b0faac_aaa784f54ed4405287c2401277f6c8d7.jpg"
"Bouquet of Flowers Ring
$9.00","['Wholesale Website', 'Glass Stone and Whimsical Images - Filigree Medallion Rings\n18mm X 13mm - Antiqued Brass - Adjustable to Sizes 6-8\nSuggested Retail $20.00\n ']","https://static.wixstatic.com/media/b0faac_f68b26fc31714dbcb325d0679561c728.jpg/v1/fill/w_133,h_133,al_c,q_80,usm_0.66_1.00_0.01/b0faac_f68b26fc31714dbcb325d0679561c728.jpg"
"Yellow & White Daisies Ring
$9.00","['Wholesale Website', 'Glass Stone and Whimsical Images - Filigree Medallion Rings\n18mm X 13mm - Antiqued Brass - Adjustable to Sizes 6-8\nSuggested Retail $20.00\n ']","https://static.wixstatic.com/media/b0faac_30560329147f4b1aa8c6695482340ed3.jpg/v1/fill/w_133,h_133,al_c,q_80,usm_0.66_1.00_0.01/b0faac_30560329147f4b1aa8c6695482340ed3.jpg"
"Orange Flowers Ring
$9.00","['Wholesale Website', 'Glass Stone and Whimsical Images - Filigree Medallion Rings\n18mm X 13mm - Antiqued Brass - Adjustable to Sizes 6-8\nSuggested Retail $20.00\n ']","https://static.wixstatic.com/media/b0faac_e9c1b676df3547e9a3ca4a7058fa689a.jpg/v1/fill/w_133,h_133,al_c,q_80,usm_0.66_1.00_0.01/b0faac_e9c1b676df3547e9a3ca4a7058fa689a.jpg"
"Red Rose Ring
$9.00","['Wholesale Website', 'Glass Stone and Whimsical Images - Filigree Medallion Rings\n18mm X 13mm - Antiqued Brass - Adjustable to Sizes 6-8\nSuggested Retail $20.00\n ']","https://static.wixstatic.com/media/b0faac_97c2714312f34a4cac96fee2cf82f15f.jpg/v1/fill/w_133,h_133,al_c,q_80,usm_0.66_1.00_0.01/b0faac_97c2714312f34a4cac96fee2cf82f15f.jpg"
"Garnet Tear Drop Earring
$8.00","['Wholesale Website', 'Glass Tear Drop Earrings\n  13mm glass drops - silver plated - lightly oxidized for vintage look\nSuggested Retail - $18.00']","https://static.wixstatic.com/media/b0faac_793516d7c8094abbb43d706627aaebf2.jpg/v1/fill/w_139,h_231,al_c,q_80,usm_0.66_1.00_0.01/b0faac_793516d7c8094abbb43d706627aaebf2.jpg"
"Rose Tear Drop Earring
$8.00","['Wholesale Website', 'Glass Tear Drop Earrings\n  13mm glass drops - silver plated - lightly oxidized for vintage look\nSuggested Retail - $18.00']","https://static.wixstatic.com/media/b0faac_a935d187844b428fa9ce96bb23c5b7e0.jpg/v1/fill/w_139,h_231,al_c,q_80,usm_0.66_1.00_0.01/b0faac_a935d187844b428fa9ce96bb23c5b7e0.jpg"
"Amber Tear Drop Earring
$8.00","['Wholesale Website', 'Glass Tear Drop Earrings\n  13mm glass drops - silver plated - lightly oxidized for vintage look\nSuggested Retail - $18.00']","https://static.wixstatic.com/media/b0faac_7d68ac134e8847539ebe093677f9df49.jpg/v1/fill/w_139,h_231,al_c,q_80,usm_0.66_1.00_0.01/b0faac_7d68ac134e8847539ebe093677f9df49.jpg"
"Honey Tear Drop Earring
$8.00","['Wholesale Website', 'Glass Tear Drop Earrings\n  13mm glass drops - silver plated - lightly oxidized for vintage look\nSuggested Retail - $18.00']","https://static.wixstatic.com/media/b0faac_e6d89afcac8740fa8eddc53603dcc551.jpg/v1/fill/w_139,h_231,al_c,q_80,usm_0.66_1.00_0.01/b0faac_e6d89afcac8740fa8eddc53603dcc551.jpg"
"EmeraldTear Drop Earring
$8.00","['Wholesale Website', 'Glass Tear Drop Earrings\n  13mm glass drops - silver plated - lightly oxidized for vintage look\nSuggested Retail - $18.00']","https://static.wixstatic.com/media/b0faac_78daac89e41a4da286fb4330285cb7f8.jpg/v1/fill/w_139,h_231,al_c,q_80,usm_0.66_1.00_0.01/b0faac_78daac89e41a4da286fb4330285cb7f8.jpg"
"Amethyst Tear Drop Earring
$8.00","['Wholesale Website', 'Glass Tear Drop Earrings\n  13mm glass drops - silver plated - lightly oxidized for vintage look\nSuggested Retail - $18.00']","https://static.wixstatic.com/media/b0faac_59ff7562ac9c443596fa516592f35b1b.jpg/v1/fill/w_139,h_231,al_c,q_80,usm_0.66_1.00_0.01/b0faac_59ff7562ac9c443596fa516592f35b1b.jpg"
"Crystal Tear Drop Earring
$8.00","['Wholesale Website', 'Glass Tear Drop Earrings\n  13mm glass drops - silver plated - lightly oxidized for vintage look\nSuggested Retail - $18.00']","https://static.wixstatic.com/media/b0faac_204dafd31c2f4cf3b116f8c1f4b3ba2d.jpg/v1/fill/w_139,h_231,al_c,q_80,usm_0.66_1.00_0.01/b0faac_204dafd31c2f4cf3b116f8c1f4b3ba2d.jpg"
"Onyx Tear Drop Earring
$8.00","['Wholesale Website', 'Glass Tear Drop Earrings\n  13mm glass drops - silver plated - lightly oxidized for vintage look\nSuggested Retail - $18.00']","https://static.wixstatic.com/media/b0faac_3c961381093646349b4fb98b390cc75d.jpg/v1/fill/w_139,h_231,al_c,q_80,usm_0.66_1.00_0.01/b0faac_3c961381093646349b4fb98b390cc75d.jpg"
"January Birthstone Earring
$8.00","['Wholesale Website', 'Birthstone Earrings\n8mm Glass Beads - Shiny Surgical Steel Lever Backs With Tiny Crystal Setting\n  Minimum Opening Order - 12 (one each month)\nNo Minimum for Reorders - Suggested Retail $18.00', 'Birthstone Earrings\nOne Dozen Pair\nOne of Each Month\n$96.00', 'Reorder Individual Months Below']","https://static.wixstatic.com/media/b0faac_5d5013d963584498a53f9d461fc0b2ec.jpg/v1/fill/w_137,h_183,al_c,q_80,usm_0.66_1.00_0.01/b0faac_5d5013d963584498a53f9d461fc0b2ec.jpg"
"February Birthstone Earring
$8.00","['Wholesale Website', 'Birthstone Earrings\n8mm Glass Beads - Shiny Surgical Steel Lever Backs With Tiny Crystal Setting\n  Minimum Opening Order - 12 (one each month)\nNo Minimum for Reorders - Suggested Retail $18.00', 'Birthstone Earrings\nOne Dozen Pair\nOne of Each Month\n$96.00', 'Reorder Individual Months Below']","https://static.wixstatic.com/media/b0faac_ab0c5369f7634ec981c7f2a57f5eec11.jpg/v1/fill/w_137,h_183,al_c,q_80,usm_0.66_1.00_0.01/b0faac_ab0c5369f7634ec981c7f2a57f5eec11.jpg"
"March Birthstone Earring
$8.00","['Wholesale Website', 'Birthstone Earrings\n8mm Glass Beads - Shiny Surgical Steel Lever Backs With Tiny Crystal Setting\n  Minimum Opening Order - 12 (one each month)\nNo Minimum for Reorders - Suggested Retail $18.00', 'Birthstone Earrings\nOne Dozen Pair\nOne of Each Month\n$96.00', 'Reorder Individual Months Below']","https://static.wixstatic.com/media/b0faac_8f27b9614a514086b9f32a0c157aacb4.jpg/v1/fill/w_137,h_183,al_c,q_80,usm_0.66_1.00_0.01/b0faac_8f27b9614a514086b9f32a0c157aacb4.jpg"
"April Birthstone Earring
$8.00","['Wholesale Website', 'Birthstone Earrings\n8mm Glass Beads - Shiny Surgical Steel Lever Backs With Tiny Crystal Setting\n  Minimum Opening Order - 12 (one each month)\nNo Minimum for Reorders - Suggested Retail $18.00', 'Birthstone Earrings\nOne Dozen Pair\nOne of Each Month\n$96.00', 'Reorder Individual Months Below']","https://static.wixstatic.com/media/b0faac_ad5c3ca1727e4cb88e08303b54dbde76.jpg/v1/fill/w_137,h_183,al_c,q_80,usm_0.66_1.00_0.01/b0faac_ad5c3ca1727e4cb88e08303b54dbde76.jpg"
"May Birthstone Earring
$8.00","['Wholesale Website', 'Birthstone Earrings\n8mm Glass Beads - Shiny Surgical Steel Lever Backs With Tiny Crystal Setting\n  Minimum Opening Order - 12 (one each month)\nNo Minimum for Reorders - Suggested Retail $18.00', 'Birthstone Earrings\nOne Dozen Pair\nOne of Each Month\n$96.00', 'Reorder Individual Months Below']","https://static.wixstatic.com/media/b0faac_58fc058c459140c09bd826de048ba223.jpg/v1/fill/w_137,h_183,al_c,q_80,usm_0.66_1.00_0.01/b0faac_58fc058c459140c09bd826de048ba223.jpg"
"June Birthstone Earring
$8.00","['Wholesale Website', 'Birthstone Earrings\n8mm Glass Beads - Shiny Surgical Steel Lever Backs With Tiny Crystal Setting\n  Minimum Opening Order - 12 (one each month)\nNo Minimum for Reorders - Suggested Retail $18.00', 'Birthstone Earrings\nOne Dozen Pair\nOne of Each Month\n$96.00', 'Reorder Individual Months Below']","https://static.wixstatic.com/media/b0faac_39659e8969374cc085955dcb22fa81b3.jpg/v1/fill/w_137,h_183,al_c,q_80,usm_0.66_1.00_0.01/b0faac_39659e8969374cc085955dcb22fa81b3.jpg"
"July Birthstone Earring
$8.00","['Wholesale Website', 'Birthstone Earrings\n8mm Glass Beads - Shiny Surgical Steel Lever Backs With Tiny Crystal Setting\n  Minimum Opening Order - 12 (one each month)\nNo Minimum for Reorders - Suggested Retail $18.00', 'Birthstone Earrings\nOne Dozen Pair\nOne of Each Month\n$96.00', 'Reorder Individual Months Below']","https://static.wixstatic.com/media/b0faac_82e61ba692df4465b4b335c8104011a0.jpg/v1/fill/w_137,h_183,al_c,q_80,usm_0.66_1.00_0.01/b0faac_82e61ba692df4465b4b335c8104011a0.jpg"
"August Birthstone Earring
$8.00","['Wholesale Website', 'Birthstone Earrings\n8mm Glass Beads - Shiny Surgical Steel Lever Backs With Tiny Crystal Setting\n  Minimum Opening Order - 12 (one each month)\nNo Minimum for Reorders - Suggested Retail $18.00', 'Birthstone Earrings\nOne Dozen Pair\nOne of Each Month\n$96.00', 'Reorder Individual Months Below']","https://static.wixstatic.com/media/b0faac_b8aee4aa5ccb4cd9a631bc99e7433dd1.jpg/v1/fill/w_137,h_183,al_c,q_80,usm_0.66_1.00_0.01/b0faac_b8aee4aa5ccb4cd9a631bc99e7433dd1.jpg"
"September Birthstone Earring
$8.00","['Wholesale Website', 'Birthstone Earrings\n8mm Glass Beads - Shiny Surgical Steel Lever Backs With Tiny Crystal Setting\n  Minimum Opening Order - 12 (one each month)\nNo Minimum for Reorders - Suggested Retail $18.00', 'Birthstone Earrings\nOne Dozen Pair\nOne of Each Month\n$96.00', 'Reorder Individual Months Below']","https://static.wixstatic.com/media/b0faac_c7286572851a48e989d943410e5933a6.jpg/v1/fill/w_137,h_183,al_c,q_80,usm_0.66_1.00_0.01/b0faac_c7286572851a48e989d943410e5933a6.jpg"
"October Birthstone Earring
$8.00","['Wholesale Website', 'Birthstone Earrings\n8mm Glass Beads - Shiny Surgical Steel Lever Backs With Tiny Crystal Setting\n  Minimum Opening Order - 12 (one each month)\nNo Minimum for Reorders - Suggested Retail $18.00', 'Birthstone Earrings\nOne Dozen Pair\nOne of Each Month\n$96.00', 'Reorder Individual Months Below']","https://static.wixstatic.com/media/b0faac_d7eb9d0e4364495dbc8a8826d355d996.jpg/v1/fill/w_137,h_183,al_c,q_80,usm_0.66_1.00_0.01/b0faac_d7eb9d0e4364495dbc8a8826d355d996.jpg"
"November Birthstone Earring
$8.00","['Wholesale Website', 'Birthstone Earrings\n8mm Glass Beads - Shiny Surgical Steel Lever Backs With Tiny Crystal Setting\n  Minimum Opening Order - 12 (one each month)\nNo Minimum for Reorders - Suggested Retail $18.00', 'Birthstone Earrings\nOne Dozen Pair\nOne of Each Month\n$96.00', 'Reorder Individual Months Below']","https://static.wixstatic.com/media/b0faac_09d777eaaa984a89a6162fdeb0d89ef7.jpg/v1/fill/w_137,h_183,al_c,q_80,usm_0.66_1.00_0.01/b0faac_09d777eaaa984a89a6162fdeb0d89ef7.jpg"
"December Birthstone Earring
$8.00","['Wholesale Website', 'Birthstone Earrings\n8mm Glass Beads - Shiny Surgical Steel Lever Backs With Tiny Crystal Setting\n  Minimum Opening Order - 12 (one each month)\nNo Minimum for Reorders - Suggested Retail $18.00', 'Birthstone Earrings\nOne Dozen Pair\nOne of Each Month\n$96.00', 'Reorder Individual Months Below']","https://static.wixstatic.com/media/b0faac_b8439b8399504118869084604f37ca0c.jpg/v1/fill/w_137,h_183,al_c,q_80,usm_0.66_1.00_0.01/b0faac_b8439b8399504118869084604f37ca0c.jpg"
"January Birthstone Earring
$8.00","['Wholesale Website', '', '', '', '', '', '', '', '', '', '', '', '', 'Birthstone Earrings\n8mm Glass Beads - Shiny Surgical Steel Lever Backs With Tiny Crystal Setting\n  Minimum Opening Order - 12 (one each month)\nNo Minimum for Reorders - Suggested Retail $18.00', 'Birthstone Earrings\nOne Dozen Pair\nOne of Each Month\n$96.00', 'Reorder Individual Months Below']","https://static.wixstatic.com/media/b0faac_5d5013d963584498a53f9d461fc0b2ec.jpg/v1/fill/w_137,h_183,al_c,q_80,usm_0.66_1.00_0.01/b0faac_5d5013d963584498a53f9d461fc0b2ec.jpg"
"February Birthstone Earring
$8.00","['Wholesale Website', '', '', '', '', '', '', '', '', '', '', '', '', 'Birthstone Earrings\n8mm Glass Beads - Shiny Surgical Steel Lever Backs With Tiny Crystal Setting\n  Minimum Opening Order - 12 (one each month)\nNo Minimum for Reorders - Suggested Retail $18.00', 'Birthstone Earrings\nOne Dozen Pair\nOne of Each Month\n$96.00', 'Reorder Individual Months Below']","https://static.wixstatic.com/media/b0faac_ab0c5369f7634ec981c7f2a57f5eec11.jpg/v1/fill/w_137,h_183,al_c,q_80,usm_0.66_1.00_0.01/b0faac_ab0c5369f7634ec981c7f2a57f5eec11.jpg"
"March Birthstone Earring
$8.00","['Wholesale Website', '', '', '', '', '', '', '', '', '', '', '', '', 'Birthstone Earrings\n8mm Glass Beads - Shiny Surgical Steel Lever Backs With Tiny Crystal Setting\n  Minimum Opening Order - 12 (one each month)\nNo Minimum for Reorders - Suggested Retail $18.00', 'Birthstone Earrings\nOne Dozen Pair\nOne of Each Month\n$96.00', 'Reorder Individual Months Below']","https://static.wixstatic.com/media/b0faac_8f27b9614a514086b9f32a0c157aacb4.jpg/v1/fill/w_137,h_183,al_c,q_80,usm_0.66_1.00_0.01/b0faac_8f27b9614a514086b9f32a0c157aacb4.jpg"
"April Birthstone Earring
$8.00","['Wholesale Website', '', '', '', '', '', '', '', '', '', '', '', '', 'Birthstone Earrings\n8mm Glass Beads - Shiny Surgical Steel Lever Backs With Tiny Crystal Setting\n  Minimum Opening Order - 12 (one each month)\nNo Minimum for Reorders - Suggested Retail $18.00', 'Birthstone Earrings\nOne Dozen Pair\nOne of Each Month\n$96.00', 'Reorder Individual Months Below']","https://static.wixstatic.com/media/b0faac_ad5c3ca1727e4cb88e08303b54dbde76.jpg/v1/fill/w_137,h_183,al_c,q_80,usm_0.66_1.00_0.01/b0faac_ad5c3ca1727e4cb88e08303b54dbde76.jpg"
"May Birthstone Earring
$8.00","['Wholesale Website', '', '', '', '', '', '', '', '', '', '', '', '', 'Birthstone Earrings\n8mm Glass Beads - Shiny Surgical Steel Lever Backs With Tiny Crystal Setting\n  Minimum Opening Order - 12 (one each month)\nNo Minimum for Reorders - Suggested Retail $18.00', 'Birthstone Earrings\nOne Dozen Pair\nOne of Each Month\n$96.00', 'Reorder Individual Months Below']","https://static.wixstatic.com/media/b0faac_58fc058c459140c09bd826de048ba223.jpg/v1/fill/w_137,h_183,al_c,q_80,usm_0.66_1.00_0.01/b0faac_58fc058c459140c09bd826de048ba223.jpg"
"June Birthstone Earring
$8.00","['Wholesale Website', '', '', '', '', '', '', '', '', '', '', '', '', 'Birthstone Earrings\n8mm Glass Beads - Shiny Surgical Steel Lever Backs With Tiny Crystal Setting\n  Minimum Opening Order - 12 (one each month)\nNo Minimum for Reorders - Suggested Retail $18.00', 'Birthstone Earrings\nOne Dozen Pair\nOne of Each Month\n$96.00', 'Reorder Individual Months Below']","https://static.wixstatic.com/media/b0faac_39659e8969374cc085955dcb22fa81b3.jpg/v1/fill/w_137,h_183,al_c,q_80,usm_0.66_1.00_0.01/b0faac_39659e8969374cc085955dcb22fa81b3.jpg"
"July Birthstone Earring
$8.00","['Wholesale Website', '', '', '', '', '', '', '', '', '', '', '', '', 'Birthstone Earrings\n8mm Glass Beads - Shiny Surgical Steel Lever Backs With Tiny Crystal Setting\n  Minimum Opening Order - 12 (one each month)\nNo Minimum for Reorders - Suggested Retail $18.00', 'Birthstone Earrings\nOne Dozen Pair\nOne of Each Month\n$96.00', 'Reorder Individual Months Below']","https://static.wixstatic.com/media/b0faac_82e61ba692df4465b4b335c8104011a0.jpg/v1/fill/w_137,h_183,al_c,q_80,usm_0.66_1.00_0.01/b0faac_82e61ba692df4465b4b335c8104011a0.jpg"
