Feather Patina Bracelet,p-b-i016p,Bracelets|||||||||,Patina Feather Bracelet,,,,1,,1,3,,0,,0,1,p-b-i16p-web.jpg
Feathers Patina on Leather Cord N/E Set,p-n-i018p,Necklace Earring Sets|||||||||,,,,,1,,1,5,,0,,0,1,p-n-i018p-WEB.jpg
Floral Cluster Black On Gold N/E Set,p-n-bk167bk,Necklace Earring Sets|||||||||,Floral Clusters Black On Gold Necklace/Earring Set<br />Lead And Nickel Free.<br />Adjustable Lobster Clasp/Chain Closure.,,,,1,,1,11,,0,,0,1,p-n-bk167bk-WEB.jpg
Floral Cluster Coral On Gold N/E Set,p-n-bk167co,Necklace Earring Sets|||||||||,Floral Clusters Coral On Gold Necklace/Earring Set<br />Lead And Nickel Free.<br />Adjustable Lobster Clasp/Chain Closure.,,,,1,,1,11,,0,,0,1,p-n-bk167co-WEB.jpg
Floral Cluster Ivory On Gold N/E Set,p-n-bk167iv,Necklace Earring Sets|||||||||,Floral Clusters Ivory On Gold Necklace/Earring Set<br />Lead And Nickel Free.<br />Adjustable Lobster Clasp/Chain Closure.,,,,1,,1,11,,0,,0,1,p-n-bk167iv-WEB.jpg
Floral Cluster Mint On Gold N/E Set,p-n-bk167mi,Necklace Earring Sets|||||||||,Floral Clusters Mint On Gold Necklace/Earring Set<br />Lead And Nickel Free.<br />Adjustable Lobster Clasp/Chain Closure.,,,,1,,1,11,,0,,0,1,p-n-bk167mi-WEB.jpg
Flower Wax Cord Slider Bracelet,c-b33,Bracelets|||||||||,,,,,1,,12,2.5,,0,,0,12,c-b33-web.jpg
Flowers w/ Crystals N/E Set,p-n-i033,Necklace Earring Sets|||||||||,,,,,1,,1,7,,0,,0,1,p-n-i033-web.jpg
Framed Cut-Out N/E Set,p-n-i021,Necklace Earring Sets|||||||||,,,,,1,,1,6,,0,,0,1,p-n-i021-web.jpg
Hammered Silver N/E Set,p-n-i046,Necklace Earring Sets|||||||||,,,,,1,,1,10,,0,,0,1,p-n-i046-WEB.jpg
Hands Gold Bracelet,p-b-i025g,Bracelets|||||||||,,,,,1,,1,7,,0,,0,1,p-b-i25g-WEB.jpg
Heart w/ Inlay Patina N/E Set,p-n-i031p,Necklace Earring Sets|||||||||,,,,,1,,1,6,,0,,0,1,p-n-i031p-web.jpg
Heart w/ Inlay Silver N/E Set,p-n-i031,Necklace Earring Sets|||||||||,,,,,1,,1,6,,0,,0,1,p-n-i031-web.jpg
Heart/Hashtag Silver & Gold Stretch Bracelet,p-b-r005m,Bracelets|||||||||,Heart/Hashtag Silver & Gold Stretch Bracelet,,,,1,,1,7,,0,,0,1,P-B-R005m-WEB.jpg
