LEMON YELLOW SCALLOP ENAMEL PAIL11L*10W*11.25H,KE8271YE,,LEMON YELLOW SCALLOP ENAMEL PAIL11L*10W*11.25H,,,,,PAIL11L*10W*11.25H,,2,$18.28 ,12,$16.46 ,,,2,kraftklub400,kraftklub160,https://kraftklub.com/cache/large/product/998/KE8271YE.jpg,KE8271YE.jpg,,,kraftklub800,KE8271YE.jpg
AQUA ENAMEL SCALLOPED PAIL,KE8272AQ,,AQUA ENAMEL SCALLOPED PAIL,,,,,PAIL,,6,$4.57 ,12,$4.12 ,,,6,kraftklub400,kraftklub160,https://kraftklub.com/cache/large/product/999/KE8272AQ.jpg,KE8272AQ.jpg,,,kraftklub800,KE8272AQ.jpg
BABY BLUE ENAMEL SCALLOPED PAIL 6X4.75X4.75,KE8272BB,,BABY BLUE ENAMEL SCALLOPED PAIL 6X4.75X4.75,,,,,6X4.75X4.75,,6,$4.57 ,12,$4.12 ,,,6,kraftklub400,kraftklub160,https://kraftklub.com/cache/large/product/1000/KE8272BB.jpg,KE8272BB.jpg,,,kraftklub800,KE8272BB.jpg
BLACK ENAMEL SCALLOPED PAIL6X4.75X4.75,KE8272BK,,BLACK ENAMEL SCALLOPED PAIL6X4.75X4.75,,,,,PAIL6X4.75X4.75,,6,$4.57 ,12,$4.12 ,,,6,kraftklub400,kraftklub160,https://kraftklub.com/cache/large/product/1001/KE8272BK.jpg,KE8272BK.jpg,,,kraftklub800,KE8272BK.jpg
BROWN ENAMEL SCALLOPED PAIL6X4.75X4.75,KE8272BR,,BROWN ENAMEL SCALLOPED PAIL6X4.75X4.75,,,,,PAIL6X4.75X4.75,,6,$4.57 ,12,$4.12 ,,,6,kraftklub400,kraftklub160,https://kraftklub.com/cache/large/product/1002/KE8272BR.jpg,KE8272BR.jpg,,,kraftklub800,KE8272BR.jpg
FUSHIA ENAMEL SCALLOPED PAIL6X4.75X4.75,KE8272FU,,FUSHIA ENAMEL SCALLOPED PAIL6X4.75X4.75,,,,,PAIL6X4.75X4.75,,6,$4.57 ,12,$4.12 ,,,6,kraftklub400,kraftklub160,https://kraftklub.com/cache/large/product/1003/KE8272FU.jpg,KE8272FU.jpg,,,kraftklub800,KE8272FU.jpg
LIME GREEN ENAMEL SCALLOPED PAIL 6X4.75X4.75,KE8272LI,,LIME GREEN ENAMEL SCALLOPED PAIL 6X4.75X4.75,,,,,6X4.75X4.75,,6,$4.57 ,30,$4.11 ,,,6,kraftklub400,kraftklub160,https://kraftklub.com/cache/large/product/1004/KE8272LI.jpg,KE8272LI.jpg,,,kraftklub800,KE8272LI.jpg
NAVY BLUE ENAMEL SCALLOPED PAIL6X4.75X4.75,KE8272NB,,NAVY BLUE ENAMEL SCALLOPED PAIL6X4.75X4.75,,,,,PAIL6X4.75X4.75,,6,$4.57 ,12,$4.12 ,,,6,kraftklub400,kraftklub160,https://kraftklub.com/cache/large/product/1005/KE8272NB.jpg,KE8272NB.jpg,,,kraftklub800,KE8272NB.jpg
ORANGE ENAMEL SCALLOPED PAIL,KE8272-OR,,ORANGE ENAMEL SCALLOPED PAIL,,,,,PAIL,,6,$4.57 ,12,$4.12 ,,,6,kraftklub400,kraftklub160,https://kraftklub.com/cache/large/product/1006/KE8272-OR.jpg,KE8272-OR.jpg,,,kraftklub800,KE8272-OR.jpg
PINK ENAMEL SCALLOPED PAIL6X4.75X4.75,KE8272P,,PINK ENAMEL SCALLOPED PAIL6X4.75X4.75,,,,,PAIL6X4.75X4.75,,6,$4.57 ,12,$4.12 ,,,6,kraftklub400,kraftklub160,https://kraftklub.com/cache/large/product/1007/KE8272P.jpg,KE8272P.jpg,,,kraftklub800,KE8272P.jpg
PURPLE SCALLOPED PAIL,KE8272-PUR,,PURPLE SCALLOPED PAIL,,,,,PAIL,,6,$4.57 ,12,$4.11 ,,,6,kraftklub400,kraftklub160,https://kraftklub.com/cache/large/product/1008/KE8272-PUR.jpg,KE8272-PUR.jpg,,,kraftklub800,KE8272-PUR.jpg
