"BC_ACA_16oz
"RLI_LEM_16OZ
",Lavender & Lace,RLI_LAV_16OZ,Home > Reflective Light Inspirations >,"The enchanting essence of lavender fields breathes a quiet serenity.

These labels feature an intricate laser cut design with a scripture based message as well as the fragrance name.

Our Reflective Light Candles have a captivating style! They are housed in a clear glass jar with a unique stepped base and mouth. The black metal lid is elegantly embossed. The 26 ounce candles have approximately 200 hours of burn time. The 16 ounce candles have approximately 120 hours of burn time.",None,[],1,$19.00,https://www.barncandles.com/resize/ProductImages/RLI_LAV.jpg?lr=t&bw=550&w=550&bh=550&h=550
"RLI_VER_16OZ
",Lemon Verbena,RLI_VER_16OZ,Home > Reflective Light Inspirations >,"Lift your spirits with the rich herbal zest of spring green herbs, white lilies, citrus, and verbena.

These labels feature an intricate laser cut design with a scripture based message as well as the fragrance name.

Our Reflective Light Candles have a captivating style! They are housed in a clear glass jar with a unique stepped base and mouth. The black metal lid is elegantly embossed. The 26 ounce candles have approximately 200 hours of burn time. The 16 ounce candles have approximately 120 hours of burn time.",None,[],1,$19.00,https://www.barncandles.com/resize/ProductImages/RLI_VER.jpg?lr=t&bw=550&w=550&bh=550&h=550
"RLI_LIL_16OZ
",Lemon Verbena,RLI_VER_16OZ,Home > Reflective Light Inspirations >,"Lift your spirits with the rich herbal zest of spring green herbs, white lilies, citrus, and verbena.

These labels feature an intricate laser cut design with a scripture based message as well as the fragrance name.

Our Reflective Light Candles have a captivating style! They are housed in a clear glass jar with a unique stepped base and mouth. The black metal lid is elegantly embossed. The 26 ounce candles have approximately 200 hours of burn time. The 16 ounce candles have approximately 120 hours of burn time.",None,[],1,$19.00,https://www.barncandles.com/resize/ProductImages/RLI_VER.jpg?lr=t&bw=550&w=550&bh=550&h=550
"RLI_MAC_16OZ
",Macintosh Apple,RLI_MAC_16OZ,Home > Reflective Light Inspirations >,"The apple cart is full! A bushel basket bouquet of delicious apples, freshly picked, loaded with country charm.

These labels feature an intricate laser cut design with a scripture based message as well as the fragrance name.

Our Reflective Light Candles have a captivating style! They are housed in a clear glass jar with a unique stepped base and mouth. The black metal lid is elegantly embossed. The 26 ounce candles have approximately 200 hours of burn time. The 16 ounce candles have approximately 120 hours of burn time.",None,[],1,$19.00,https://www.barncandles.com/resize/ProductImages/RLI_MAC.jpg?lr=t&bw=550&w=550&bh=550&h=550
"RLI_MAP_16OZ
",Macintosh Apple,RLI_MAC_16OZ,Home > Reflective Light Inspirations >,"The apple cart is full! A bushel basket bouquet of delicious apples, freshly picked, loaded with country charm.

These labels feature an intricate laser cut design with a scripture based message as well as the fragrance name.

Our Reflective Light Candles have a captivating style! They are housed in a clear glass jar with a unique stepped base and mouth. The black metal lid is elegantly embossed. The 26 ounce candles have approximately 200 hours of burn time. The 16 ounce candles have approximately 120 hours of burn time.",None,[],1,$19.00,https://www.barncandles.com/resize/ProductImages/RLI_MAC.jpg?lr=t&bw=550&w=550&bh=550&h=550
"RLI_MIS_16OZ
",Macintosh Apple,RLI_MAC_16OZ,Home > Reflective Light Inspirations >,"The apple cart is full! A bushel basket bouquet of delicious apples, freshly picked, loaded with country charm.

These labels feature an intricate laser cut design with a scripture based message as well as the fragrance name.

Our Reflective Light Candles have a captivating style! They are housed in a clear glass jar with a unique stepped base and mouth. The black metal lid is elegantly embossed. The 26 ounce candles have approximately 200 hours of burn time. The 16 ounce candles have approximately 120 hours of burn time.",None,[],1,$19.00,https://www.barncandles.com/resize/ProductImages/RLI_MAC.jpg?lr=t&bw=550&w=550&bh=550&h=550
"RLI_NUT_16OZ
",Nutmeg & Cedar,RLI_NUT_16OZ,Home > Reflective Light Inspirations >,"Experience the beautiful simplicity of shaved cedar chips blended harmoniously with the hint of nutmeg. Bring the outdoors inside your home.

These labels feature an intricate laser cut design with a scripture based message as well as the fragrance name.

Our Reflective Light Candles have a captivating style! They are housed in a clear glass jar with a unique stepped base and mouth. The black metal lid is elegantly embossed. The 26 ounce candles have approximately 200 hours of burn time. The 16 ounce candles have approximately 120 hours of burn time.",None,[],1,$19.00,https://www.barncandles.com/resize/ProductImages/RLI_NUT.jpg?lr=t&bw=550&w=550&bh=550&h=550
"RLI_SPL_16OZ
",Spirulina,RLI_SPL_16OZ,Home > Reflective Light Inspirations >,"A quenching green aloe leaf blended with cucumber, orange zest, and freshly cut grass.

These labels feature an intricate laser cut design with a scripture based message as well as the fragrance name.

Our Reflective Light Candles have a captivating style! They are housed in a clear glass jar with a unique stepped base and mouth. The black metal lid is elegantly embossed. The 26 ounce candles have approximately 200 hours of burn time. The 16 ounce candles have approximately 120 hours of burn time.","He who refreshed others, will himself be refreshed (Proverbs 11:25)",[],1,$19.00,https://www.barncandles.com/resize/Shared/Images/Product/Spirulina/2012-10-19-10-42-29.jpg?lr=t&bw=550&w=550&bh=550&h=550
"RLI_STR_16OZ
",Strawberry Rhubarb,RLI_STR_16OZ,Home > Reflective Light Inspirations >,"A country patch of hand picked strawberries blended with freshly cut stalks of rhubarb, create an irresistible fragrance.

These labels feature an intricate laser cut design with a scripture based message as well as the fragrance name.

Our Reflective Light Candles have a captivating style! They are housed in a clear glass jar with a unique stepped base and mouth. The black metal lid is elegantly embossed. The 26 ounce candles have approximately 200 hours of burn time. The 16 ounce candles have approximately 120 hours of burn time.",None,[],1,$19.00,https://www.barncandles.com/resize/ProductImages/RLI_STR.jpg?lr=t&bw=550&w=550&bh=550&h=550
"RLI_SUG_16OZ
",Strawberry Rhubarb,RLI_STR_16OZ,Home > Reflective Light Inspirations >,"A country patch of hand picked strawberries blended with freshly cut stalks of rhubarb, create an irresistible fragrance.

These labels feature an intricate laser cut design with a scripture based message as well as the fragrance name.

Our Reflective Light Candles have a captivating style! They are housed in a clear glass jar with a unique stepped base and mouth. The black metal lid is elegantly embossed. The 26 ounce candles have approximately 200 hours of burn time. The 16 ounce candles have approximately 120 hours of burn time.",None,[],1,$19.00,https://www.barncandles.com/resize/ProductImages/RLI_STR.jpg?lr=t&bw=550&w=550&bh=550&h=550
