Beach Cottage Birdhouse - Slatted  w/Tin Roof - Aqua,BHK 203 A,Birdhouses|,"Our feathered friends want to live in a beach cottage too!

This handcrafted Beach Cottage Birdhouse is made from reclaimed wood. Each is individually hand painted and distressed for a ""shabby chic"" look and accented with a tin roof and a cleanout door in the back!

A great addition to your outdoor living space!",,,,,"Product Dimensions: 10.5""Height x 7""Width x 4""Deep",,1,13,,,,,1,,,lg000499.jpg,lg000499.jpg,,,,lg000499.jpg
Beach Cottage Birdhouse - Slatted  w/Tin Roof - Blue,BHK 203 B,Birdhouses|,"Our feathered friends want to live in a beach cottage too!

This handcrafted Beach Cottage Birdhouse is made from reclaimed wood. Each is individually hand painted and distressed for a ""shabby chic"" look and accented with a tin roof and a cleanout door in the back!

A great addition to your outdoor living space!",,,,,"Product Dimensions: 10.5""Height x 7""Width x 4""Deep",,1,13,,,,,1,,,lg000500.jpg,lg000500.jpg,,,,lg000500.jpg
Beach Cottage Birdhouse - Slatted  w/Tin Roof - White,BHK 203 W,Birdhouses|,"Our feathered friends want to live in a beach cottage too!

This handcrafted Beach Cottage Birdhouse is made from reclaimed wood. Each is individually hand painted and distressed for a ""shabby chic"" look and accented with a tin roof and a cleanout door in the back!

A great addition to your outdoor living space!",,,,,"Product Dimensions: 10.5""Height x 7""Width x 4""Deep",,1,13,,,,,1,,,lg000498.jpg,lg000498.jpg,,,,lg000498.jpg
Beach Cottage Birdhouse - Slatted  w/Tin Roof - Yellow,BHK 203 Y,Birdhouses|,"Our feathered friends want to live in a beach cottage too!

This handcrafted Beach Cottage Birdhouse is made from reclaimed wood. Each is individually hand painted and distressed for a ""shabby chic"" look and accented with a tin roof and a cleanout door in the back!

A great addition to your outdoor living space!",,,,,"Product Dimensions: 10.5""Height x 7""Width x 4""Deep",,1,13,,,,,1,,,lg000496.jpg,lg000496.jpg,,,,lg000496.jpg
Buoy Place Card Holders - Set of 4 - Pastel Colors               NEW ITEM,BK PCH PAS,Buoys - Miniature & other|,"Buoy Place Card Holder Set of 4 - Pastel Colors (Aqua/White/Blue/Yellow) Four individually hand-painted and distressed miniature buoys are made from reclaimed wood to achieve a weathered coastal look. Use as a Place Card Holder or display a favorite photo. Gift boxed! Cracks, knots and imperfections are part of the desired character. Each buoy measures 2"" x 2"" x 4 3/4""H. Overall gift box dimensions 4 1/2"" square x 5 3/4""H",,,,,,,1,18,,,,,1,,,lg000604.jpg,lg000604.jpg,,,,lg000604.jpg
Buoy Place Card Holders - Set of 4 - Primary Colors            NEW ITEM,BK PCH PRI,Buoys - Miniature & other|,"Buoy Place Card Holder Set of 4 - Primary Colors (Red/Blue/Navy/White) Four individually hand-painted and distressed miniature buoys are made from reclaimed wood to achieve a weathered coastal look. Use as a Place Card Holder or display a favorite photo. Gift boxed! Cracks, knots and imperfections are part of the desired character. Each buoy measures 2"" x 2"" x 4 3/4""H. Overall gift box dimensions 4 1/2"" square x 5 3/4""H",,,,,,,1,18,,,,,1,,,lg000603.jpg,lg000603.jpg,,,,lg000603.jpg
"Buoys Miniature (3/bag): Blue/White, Red/White, Green/White",BK GR1,Buoys - Miniature & other|,"Miniature Buoys - Three Per Bag in Assorted Colors: Blue/White, Red/White and Green/White. A miniature version of our life-sized Buoys. Individually crafted of reclaimed wood, hand-painted and distressed packaged in a genuine fish net bag. Perfect for Christmas tree ornaments, package decorations, stocking stuffers, place card settings, hang on shower curtain hooks, floral and craft arrangements and much more! Be Creative! Each individual buoy measures 1-1/4"" x 1-1/4"" x 4""",,,,,,,1,9,,,,,1,,,lg000120.jpg,lg000120.jpg,,,,lg000120.jpg
"Buoys Miniature (3/bag): Blue/White/Red, Red/White/Blue, Green/White/Red",BK GR4,Buoys - Miniature & other|,"Miniature Buoys - Three Per Bag in Assorted Colors: Blue/White/Red, Red/White/Blue and Green/White/Red A miniature version of our life-sized Buoys. Individually crafted of reclaimed wood, hand-painted and distressed packaged in a genuine fish net bag. Perfect for Christmas tree ornaments, package decorations, stocking stuffers, place card settings, hang on shower curtain hooks, floral and craft arrangements and much more! Be Creative! Each individual buoy measures 1-1/4"" x 1-1/4"" x 4""",,,,,,,1,9,,,,,1,,,lg000123.jpg,lg000123.jpg,,,,lg000123.jpg
"Buoys Miniature (3/bag): Orange/White #8, Red/White #7, Blue/White #5",BK GR3#,Buoys - Miniature & other|,"Miniature Buoys - Three Per Bag in Assorted Colors: Orange/White #8, Red/White #7, and Blue/White #5 A miniature version of our life-sized Buoys. Individually crafted of reclaimed wood, hand-painted and distressed packaged in a genuine fish net bag. Perfect for Christmas tree ornaments, package decorations, stocking stuffers, place card settings, hang on shower curtain hooks, floral and craft arrangements and much more! Be Creative! Each individual buoy measures 1-1/4"" x 1-1/4"" x 4""",,,,,,,1,9,,,,,1,,,lg000122.jpg,lg000122.jpg,,,,lg000122.jpg
"Buoys Miniature (3/bag): Orange/White/Orange, Blue/White/Blue, Red/White/Red",BK GR5,Buoys - Miniature & other|,"Miniature Buoys - Three Per Bag in Assorted Colors: Orange/White/Orange, Blue/White/Blue and Red/White/Red A miniature version of our life-sized Buoys. Individually crafted of reclaimed wood, hand-painted and distressed packaged in a genuine fish net bag. Perfect for Christmas tree ornaments, package decorations, stocking stuffers, place card settings, hang on shower curtain hooks, floral and craft arrangements and much more! Be Creative! Each individual buoy measures 1-1/4"" x 1-1/4"" x 4""",,,,,,,1,9,,,,,1,,,lg000124.jpg,lg000124.jpg,,,,lg000124.jpg
